站代號,站名,地址,電話,提供服務時段
D4186,竹山交流道站,南投縣竹山鎮山崇里集山路二段419唬,049-2624821,07:00-22:00
D4187,南投服務區站,540 南投縣南投市南鄉路250巷142弄8號,049-2204987,00:00-24:00
D4240,新竹站,新竹市東區中華路二段347號,03-5225043,07:00-21:00
D4241,橫山站,312 新竹縣橫山鄉大肚村中豐路二段96號,03-5932902,07:00-21:00
D4242,竹東站,310 新竹縣竹東鎮東寧路一段2號,03-5962447,00:00-24:00
D4243,科學園區站,新竹市東區龍山里工業東二路2-2號,03-5779157,00:00-24:00
D4245,寶山站,308 新竹縣寶山鄉雙新村寶新路1段65號,03-5204346,07:00-21:00
D4246,關西站,306 新竹縣關西鎮中豐路二段50號,03-5872134,07:00-21:00
D4247,府前站,302 新竹縣竹北市縣政二路112號,03-5556350,00:00-24:00
D4248,竹北站,302 新竹縣竹北市中華路439號,03-5552154,07:00-22:00
D4249,湖口站,303 新竹縣湖口鄉湖鏡村中正路三段346號,03-5690155,07:00-22:00
D4250,尖石站,313 新竹縣尖石鄉嘉樂村麥樹仁2鄰66號,03-5842322,07:00-21:00
D4251,光復站,新竹市東區光復路二段716號,035-718604,00:00-24:00
D4253,香山站,300 新竹市香山區中華路五段54號,03-5383201,07:00-21:00
D4254,新湖口站,303 新竹縣湖口鄉中正路二段20號,03-5991267,07:00-22:00
D4256,新豐站,303 新竹縣湖口鄉鳳山村新興路330號,03-5592308,00:00-24:00
D4257,光明站,新竹市東區光復路二段1號,03-5716471,00:00-24:00
D4258,東林路站,310 新竹縣竹東鎮東林路105號,03-5957003,00:00-24:00
D4259,峨眉站,315 新竹縣峨眉鄉峨眉村3-1號,03-5800564,07:00-17:00
D4260,新庄子站,304 新竹縣新豐鄉重興村新庄路429號,03-5593274,07:00-21:00
D4261,芎林站,307 新竹縣芎林鄉上山村文山路554號,03-5923740,07:00-22:00
D4262,北大路站,新竹市東區北大路374號,03-5227664,00:00-24:00
D4265,北埔站,314 新竹縣北埔鄉水?村麻布樹排20號,03-5802547,07:00-21:00
D4266,南寮站,300 新竹市北區東大路四段292號,03-5363424,07:00-21:00
D426A,獅潭站,354 苗栗縣獅潭鄉新店村新店9-1號,037-931276,07:00-18:00
D426C,通利站,苗栗縣通霄鎮平安里18鄰環市路二段1032號,037-764736,00:00-24:00
D426E,後龍站,356 苗栗縣後龍鎮中華路51-2號,037-722041,06:30-22:30
D426F,北苗站,360 苗栗縣苗栗市為公路110號,037-262439,07:00-21:00
D426G,中苗站,360 苗栗縣苗栗市中正路442號,037-326764,00:00-24:00
D426H,中華路站,360 苗栗縣苗栗市中華路30號,037-266431,00:00-24:00
D426J,西湖站,368 苗栗縣西湖鄉湖東村埔頂9-3號,037-921048,07:00-21:00
D426K,公館站,363 苗栗縣公館鄉玉泉村玉泉24-4號,037-222834,00:00-24:00
D426L,銅鑼站,366 苗栗縣銅鑼鄉銅鑼村中正路151號,037-981124,07:00-21:00
D426M,通霄站,357 苗栗縣通霄鎮中山路297號,037-752075,07:00-21:00
D426N,山腳站,358 苗栗縣苑裡鎮舊社里158號,037-745074,07:00-21:00
D426P,自強路站,351 苗栗縣頭份市東庄里六鄰自強路二段170號,037-615343,07:00-21:00
D426R,苑裡站,358 苗栗縣苑裡鎮中山路19號,037-866747,00:00-24:00
D426T,三義站,367 苗栗縣三義鄉廣盛村中正路146號,037-872204,07:00-21:00
D426U,大湖站,364 苗栗縣大湖鄉富興村2-1號,037-991072,07:00-21:00
D426V,南平路站,351 苗栗縣頭份市蘆竹路270號,037-612746,07:00-21:00
D426W,頭份站,351 苗栗縣頭份市自強路2號,037-663242,00:00-24:00
D426X,蘆竹站,351 苗栗縣頭份市中華路444號,037-623740,07:00-21:00
D426Y,頭份工業區站,351 苗栗縣頭份市蘆竹里中華路519號,037-626224,07:00-21:00
D426Z,中正路站,350 苗栗縣竹南鎮中正路120號,037-463428,00:00-24:00
D4273,長安站,新竹縣湖口鄉湖口村八德路二段461號,03-5696829,07:00-21:00
D4275,豐興站,310 新竹縣竹東鎮北興路一段40號,03-5947002,07:00-21:00
D4278,奕承站,300 新竹市香山區景觀大道830號,03-5292057,07:00-22:00
D4279,長和站,300 新竹市北區經國路二段293號,03-5420762,07:00-22:00
D427A,竹南站,350 苗栗縣竹南鎮東平路101號,037-624865,07:00-21:00
D427E,大坪站,361 苗栗縣造橋鄉錦水村錦水7-30號,037-541881,07:00-18:00
D427F,三灣站,352 苗栗縣三灣鄉三灣村中正路7-2號,037-831137,07:00-21:00
D427G,南庄站,353 苗栗縣南庄鄉中正路197號,037-822401,07:00-18:00
D427H,頭屋站,362 苗栗縣頭屋鄉象山村198-3號,037-252723,00:00-24:00
D4331,馬公漁船站,澎湖縣馬公市海安街16號(備註：週六歇業),069-272585,08:00-16:00
D4333,東石漁船站,嘉義縣東石鄉東石村觀海一路160號 (11月-3月10:00-17:00；4月-10月10:30-1，週日停業),05-3730273,10:00-17:00
D4334,鎖港漁船站,澎湖縣馬公市鎖港里293號,06-9951005,08:00-16:00
D4335,赤崁漁船站,澎湖縣白沙鄉赤崁村37號,06-9931078,08:00-16:00
D4338,外垵漁船站,澎湖縣西嶼鄉外垵村89-2號(週六12:00後及週日不營業),06-9983371,08:00-16:00
D4339,龍門漁船站,澎湖縣湖西鄉龍門村119-63號,06-9921412,08:00-16:00
D4340,博愛路站,嘉義市東區博愛路ㄧ段2號,05-2762353,07:00-21:00
D4341,新營站,730 台南市新營區開元路52號,06-6322503,07:00-18:00
D4342,斗六站,640 雲林縣斗六市雲林路二段334號,05-5322534,07:00-21:00
D4343,信義路站,600 嘉義市西區博愛路二段519號,05-2359381,00:00-24:00
D4344,西螺站,648 雲林縣西螺鎮大園里大同路38號,05-5862240,07:00-21:00
D4345,虎尾站,632 雲林縣虎尾鎮平和里光復路131號,05-6322524,07:00-21:00
D4346,吳鳳路站,嘉義市東區吳鳳南路92號,05-2224070,00:00-24:00
D4347,鹽水站,737 台南市鹽水區橋南里月津路53號,06-6521204,07:00-21:00
D4348,白河站,732 台南市白河區永安里新厝子142號,06-6852134,07:00-21:00
D4349,北港站,651 雲林縣北港鎮華勝路87號,05-7832618,07:00-21:00
D434A,梅山站,603 嘉義縣梅山鄉梅北村中山路746號,05-2622821,07:00-21:00
D434E,太保站,612 嘉義縣太保市春珠里春珠178號,05-3711635,07:00-21:00
D434F,六腳站,615 嘉義縣六腳鄉六腳村六腳路2-15號,05-3781175,07:00-21:00
D434G,蒜頭站,615 嘉義縣六腳鄉蒜頭村1-15號,05-3802944,07:00-21:00
D434H,布袋站,625 嘉義縣布袋鎮興中里上海路1號,05-3471410,07:00-21:00
D434J,二崙自強站,649 雲林縣二崙鄉大同村大同路21號,05-5984084,07:00-21:00
D434K,朴子山通路站,613 嘉義縣朴子市大鄉里大?榔625號,05-3799580,07:00-21:00
D434L,興嘉站,嘉義市東區車店里上海路246號,05-2353461,07:00-21:00
D434M,三條崙站,654 雲林縣四湖鄉崙北村海青路196號(備註：僅週一、三、五營業),05-7721002,08:00-16:00
D434R,鹿草站,611 嘉義縣鹿草鄉後堀村山仔腳59號,05-3751219,07:00-21:00
D434T,褒忠站,634 雲林縣褒忠鄉埔姜村三民路231號,05-6974165,07:00-21:00
D434U,大林中正路站,622 嘉義縣大林鎮中正路801號,05-2659202,07:00-21:00
D434V,斗六南環路站,640 雲林縣斗六市文化路522號,05-5339692,00:00-24:00
D434W,斗南中興路站,630 雲林縣斗南鎮中興路201號,05-5961172,07:00-21:00
D434X,東山站,733 台南市東山區東正里東勢240號,06-6800021,07:00-21:00
D434Y,雲林東勢站,635 雲林縣東勢鄉復興村文化路2-10號,05-6993200,07:00-21:00
D434Z,北興站,600 嘉義市西區自由路436號,05-2348070,07:00-21:00
D4350,大林站,622 嘉義縣大林鎮中正路260號,05-2652049,07:00-21:00
D4351,斗南站,630 雲林縣斗南鎮延平路二段165號,05-5972320,00:00-24:00
D4352,朴子站,613 嘉義縣朴子市南通路三段635號,05-3792364,07:00-21:00
D4353,民雄站,621 嘉義縣民雄鄉建國路二段329號,05-2262145,07:00-21:00
D4354,柳營站,736 台南市柳營區柳營路三段300號,06-6222041,07:00-21:00
D4355,莿桐站,647 雲林縣莿桐鄉中山路251號,05-5842054,07:00-21:00
D4356,土庫站,633 雲林縣土庫鎮建國路131號,05-6622644,07:00-21:00
D4357,崙背站,637 雲林縣崙背鄉南陽村正義路123號,05-6962049,07:00-21:00
D4358,後壁站,731 台南市後壁區後壁里42號,06-6871004,07:00-21:00
D4359,南靖站,608 嘉義縣水上鄉三鎮路101-1號,05-2682029,07:00-21:00
D435A,水林站,652 雲林縣水林鄉水北村顏厝寮97號,05-7854194,07:00-21:00
D435F,民雄保生街站,621 嘉義縣民雄鄉保生街220號,05-2268625,07:00-21:00
D435G,大埔站,607 嘉義縣大埔鄉和平村雙溪14-3號,05-2521484,07:00-18:00
D435H,番路站,602 嘉義縣番路鄉下坑村下坑40-2號,05-2592386,07:00-21:00
D435J,義和站,647 雲林縣莿桐鄉義和村三和37-5號,05-5844090,00:00-24:00
D435L,北港新德路站,651 雲林縣北港鎮新街里新德路27號,05-7824045,07:00-21:00
D435R,石卓站,604 嘉義縣竹崎鄉中和村永和1-1號,05-2561944,07:30-18:00
D435U,民工站,621 嘉義縣民雄鄉福樂村中山路37號,05-2206537,07:00-21:00
D4360,新港站,616 嘉義縣新港鄉菜公村菜公厝64-1號,05-3742054,00:00-24:00
D4361,義竹站,624 嘉義縣義竹鄉義竹村118號之6,05-3412054,07:00-21:00
D4362,林內站,643 雲林縣林內鄉林中村中正路532號,05-5892048,07:00-21:00
D4363,文化路站,600 嘉義市東區文化路11號,05-2226551,07:00-21:00
D4364,虎尾新生路站,632 雲林縣虎尾鎮新生路155號,05-6322812,00:00-24:00
D4365,二崙站,649 雲林縣二崙鄉崙東村中山路一段102號,05-5982056,07:00-21:00
D4366,中山路站,嘉義市東區中山路90號,05-2789320,07:00-21:00
D4367,四湖站,654 雲林縣四湖鄉施湖村中山西路199號,05-7872053,07:00-21:00
D4368,林森路站,600 嘉義市西區林森西路281號,05-2279744,07:00-22:00
D4369,三民路站,730 台南市新營區三民路61號,06-6323343,07:00-22:00
D436A,馬公站,880 澎湖縣馬公市民福路18號,06-9272595,07:00-22:00
D436E,通梁站,884 澎湖縣白沙鄉通梁村25-1號,06-9931021,08:00-17:00
D436F,湖西站,885 澎湖縣湖西鄉湖西村77-15號,06-9921064,07:00-16:00
D436J,池東站,881 澎湖縣西嶼鄉池東村2-1號,06-9982265,07:00-16:00
D436L,外垵站,881 澎湖縣西嶼鄉外垵村89-2號(備註：週六歇業),06-9983371,08:00-16:00
D4370,麥寮站,638 雲林縣麥寮鄉麥豐村中山路12號,05-6932174,07:00-21:00
D4372,元長站,655 雲林縣元長鄉長南村中山路４號,05-7882170,07:00-21:00
D4374,竹崎站,604 嘉義縣竹崎鄉和平村田寮52號,05-2611714,00:00-24:00
D4375,大埤站,631 雲林縣大埤鄉南和村大埤路543號,05-5912494,07:00-21:00
D4376,口湖站,653 雲林縣口湖鄉湖東村中正路一段99號,05-7892504,07:00-21:00
D4377,東石站,614 嘉義縣東石鄉東石村4-1號,05-3732760,07:00-21:00
D4378,溪口站,623 嘉義縣溪口鄉溪東村民族西路１號,05-2691700,07:00-21:00
D4379,中埔站,606 嘉義縣中埔鄉中埔村中埔161-4號,05-2532046,07:00-21:00
D4390,橋南站,638 雲林縣麥寮鄉橋頭村1鄰橋頭34號,05-6913386,07:00-21:00
D4397,嘉保站,嘉義縣太保市安仁里嘉朴東路1段116號,05-3623558,07:00-21:00
D4398,大義路站,嘉義縣中埔鄉和美村大義路515號,05-2300875,07:00-22:00
D439L,白河交流道站,台南市白河區河東里9鄰糞箕湖122之15號,06-6831091,07:00-21:00
D43W2,雅虎站,雲林縣斗六市虎溪里西平路776號,05-5514796,00:00-24:00
D43W4,嘉義高鐵北站,600 嘉義市西區大溪里高鐵大道1250號,05-2383460,07:00-21:00
D43W5,嘉義高鐵南站,600 嘉義市西區大溪里高鐵大道925號,05-2382079,07:00-21:00
D43W7,朴子二站,613 嘉義縣朴子市大鄉里大?榔852號,05-3704635,07:00-21:00
D43W8,梅山二站,603 嘉義縣梅山鄉過山村7鄰開元后46號,05-2625102,07:00-21:00
D43X5,阿里山新站,605 嘉義縣阿里山鄉南阿里山55-5號,05-2679058,08:00-17:00
D43X6,新營長榮路站,730 台南市新營區長榮路2段186號,06-6560662,07:00-21:00
D43X7,古坑服務區站,646 雲林縣古坑鄉崁腳村新興100號,05-5827210,00:00-24:00
D504S,新化站,712 台南市新化區中山路575號,06-5982150,07:00-22:00
D505I,大灣站,710 台南市永康區建國里復興路69號,06-2724010,00:00-24:00
D505P,府前路站,700 台南市中西區府前路二段256號,06-2971568,07:00-21:00
D505Q,左鎮站,713 台南市左鎮區睦光里睦光5-2號,06-5731946,07:00-15:00
D506Z,慶平路站,708 台南市安平區慶平路485號,06-2970189,07:00-21:00
D507H,成功路站,704 台南市北區成功路16號,06-2222894,00:00-24:00
D50W1,歸仁高鐵站,台南市歸仁區武東里中正南路二段11號,06-3032093,07:00-21:00
D6170,馬蘭站,950 台東縣台東市更生路653號,089-226401,07:00-22:00
D6171,中山路站,950 台東縣台東市新生路136號,089-323132,00:00-24:00
D6172,成功站,961 台東縣成功鎮中山路43號,089-851069,07:00-21:00
D6174,池上站,958 台東縣池上鄉福原村中山路25號,089-862634,07:00-22:00
D6175,太麻里站,963 台東縣太麻里鄉泰和村1鄰太麻里街157號,089-781303,07:00-21:00
D6176,長濱站,962 台東縣長濱鄉長濱村124號,089-831027,07:00-18:00
D6177,大武站,965 台東縣大武鄉尚武村尚武路8號,089-791453,07:00-21:00
D6178,知本站,950 台東縣台東市青海路四段270號,089-512284,07:00-21:00
D6179,鹿野站,955 台東縣鹿野鄉鹿野村中華路2段169號,089-551124,07:00-21:00
D617A,豐里站,950 台東縣台東市中華路二段732號,089-329691,07:00-21:00
D617B,東河站,959 台東縣東河鄉南東河5鄰46號(備註：12:00-13:00歇業),089-896236,08:00-16:00
D617C,富里站,983 花蓮縣富里鄉石牌村中興路85號,038-831285,07:00-21:00
D617E,綠島站,951 台東縣綠島鄉南寮村漁港路７號,089-672313,08:00-17:00
D617F,初鹿站,954 台東縣卑南鄉明峰村13鄰忠孝路32號,089-571742,07:00-21:00
D617G,泰源站,959 台東縣東河鄉北源村柑桔林路37-3號(備註：12:00-13:30歇業),089-891290,07:00-16:00
D617H,蘭嶼站,952 台東縣蘭嶼鄉椰油村269號,089-732157,07:00-20:00
