站代號,站名,地址,電話,提供服務時段
D2176,光復北路站,105 台北市松山區光復北路13號,02-27674900,00:00-24:00
D2179,積穗站,235 新北市中和區中山路二段550號,02-22219719,00:00-24:00
D217F,新店中正路站,新北市新店區中正路470號,02-22192678,00:00-24:00
D217J,蘆洲三民路站,247 新北市蘆洲區三民路550號,02-22890485,00:00-24:00
D217K,濱江大直橋加油加氣站,105 台北市松山區濱江街373號,02-25177975,00:00-24:00
D234C,武陵站,330 桃園市桃園區中山路1020號,03-3604492,07:00-22:00
D234D,中山路站,330 桃園市桃園區中山路522號,03-3323504,00:00-24:00
D234F,迴龍站,333 桃園市龜山區龍壽里萬壽路一段383號,02-82093915,00:00-24:00
D234H,龜山站,333 桃園市龜山區萬壽路二段640號,03-3296223,00:00-24:00
D234M,蘆竹站,338 桃園市蘆竹區錦興里中正路342號,03-3224714,00:00-24:00
D234N,三民路站,330 桃園市桃園區三民路一段150號,03-3348425,00:00-24:00
D234V,大園站,337 桃園市大園區中正東路58號,03-3862243,07:00-22:00
D234W,大竹站,338 桃園市蘆竹區大竹里大竹路503號,03-3232425,07:00-22:00
D234X,春日路站,330 桃園市桃園區春日路971號,03-3550381,00:00-24:00
D234Y,平鎮站,324 桃園市平鎮區延平路二段152號,03-4934734,00:00-24:00
D234Z,埔心站,326 桃園市楊梅區中山北路二段308號,03-4826370,00:00-24:00
D235A,楊梅站,326 桃園市楊梅區中山路96號,03-4782205,07:00-22:00
D235C,梅溪加油加氣站,326 桃園市楊梅區中山北路一段391號,03-4782632,00:00-24:00
D235D,新富站,桃園市平鎮區新富里中豐路一段298號,03-4573401,00:00-24:00
D235E,建龍站,325 桃園市龍潭區烏林里中豐路716號,03-4792578,07:00-22:00
D235F,新坡站,328 桃園市觀音區大同里中山路二段794號,03-2825887,07:00-21:00
D235G,新屋站,327 桃園市新屋區中山路85號,03-4772644,07:00-22:00
D235H,觀音站,328 桃園市觀音區廣興里中山路一段166號,03-4735944,07:00-21:00
D235J,龍潭站,325 桃園市龍潭區北龍路264號,03-4792614,00:00-24:00
D235K,富岡站,326 桃園市楊梅區民富路三段574號,03-4722045,07:00-21:00
D235L,介壽路站,330 桃園市桃園區介壽路324號,03-3615070,00:00-24:00
D235M,八德站,桃園市八德區竹園里長興路556號,03-3651042,07:00-22:00
D235N,茄苳站,桃園市八德區茄苳里中華路575號,03-3696978,07:00-22:00
D235P,獅子王站,326 桃園市楊梅區幼獅工業區獅二路16號,03-4961585,00:00-24:00
D235Q,中壢工業區加油加氣站,320 桃園市中壢區中華路二段230號,03-4521948,00:00-24:00
D235R,中壢工二站,320 桃園市中壢區吉林路37巷15號,03-4620443,00:00-24:00
D235T,中壢站,320 桃園市中壢區延平路33號,03-4522044,07:00-22:00
D235U,龍岡站,320 桃園市中壢區環中東路二段659號,03-4592501,00:00-24:00
D235V,大溪站,335 桃園市大溪區瑞興里20鄰瑞安路一段268號,03-3801304,07:00-21:00
D235X,慈湖站,335 桃園市大溪區復興路一段970號,03-3881410,07:00-21:00
D235Y,復興站,336 桃園市復興區澤仁里中正路267號,03-3822939,07:00-21:00
D235Z,觀音三和站,328 桃園市觀音區三和里濱海路武威段2號,03-4737011,07:00-21:00
D237P,海口站,337 桃園市大園區海口里三民路一段158號,03-3935333,07:00-22:00
D237V,天祥站,桃園市中壢區五權里民族路三段226號,03-2813170,00:00-24:00
D237W,大園民生站,桃園市大園區橫峰里1鄰民生南路163號,03-3856171,00:00-24:00
D237X,大園國際站,337 桃園市大園區圳頭里國際路一段772號,03-3856800,07:00-21:00
D237Y,廣豐站,326 桃園市楊梅區大平里中山南路259號,03-4786145,07:00-21:00
D4140,彰化站,500 彰化縣彰化市和調里中山路三段27號,04-7222759,00:00-24:00
D4141,三民路站,402 台中市南區福平里三民路一段１號,04-22613854,07:00-18:00
D4142,大同站,404 台中市北區錦平里三民路三段225號,04-22223385,07:00-22:00
D4143,草屯站,542 南投縣草屯鎮玉峰里中正路880號,049-2362049,00:00-24:00
D4144,豐潭站,427 台中市潭子區栗林里中山路三段249號,04-25324634,07:00-22:00
D4145,大甲站,437 台中市大甲區頂店里中山路一段1120號,04-26872314,00:00-24:00
D4146,梨山站,424 台中市和平區梨山里中正路224號,04-25981393,07:00-18:00
D4147,員林站,510 彰化縣員林市三多里中山路二段495號,04-8320294,00:00-24:00
D4148,二林站,526 彰化縣二林鎮豐田里二溪路一段212號,04-8960049,00:00-24:00
D4149,東勢站,423 台中市東勢區粵寧里豐勢路678號,04-25872454,00:00-24:00
D414A,龍井站,434 台中市龍井區竹坑里沙田路四段175號,04-26353010,00:00-24:00
D414E,埔里中山路站,545 南投縣埔里鎮中山路二段141號,049-2982844,07:00-22:00
D414F,國聖站,500 彰化縣彰化市國聖里中山路三段708號,04-7321540,07:00-22:00
D414H,溪頭,558 南投縣鹿谷鄉內湖村興產路4-5號,049-2612126,08:00-18:00
D414J,台中港站,436 台中市清水區海演里臨港路6段1號,04-26562247,00:00-24:00
D414L,大肚站,432 台中市大肚區新興里沙田路二段222號,04-26992502,00:00-24:00
D414M,南投三和站,540 南投縣南投市三和里中興路549號,049-2227255,00:00-24:00
D414N,國姓站,544 南投縣國姓鄉福龜村中正路一段55號,049-2721240,07:00-22:00
D414R,霧社站,546 南投縣仁愛鄉大同村仁和路14號,049-2802275,06:30-21:30
D414T,和美站,508 彰化縣和美鎮和東里彰美路五段85號,04-7553024,00:00-24:00
D414U,進化路站,404 台中市北區錦洲里進化路656號,04-22323873,00:00-24:00
D414W,鹿谷站,558 南投縣鹿谷鄉鹿谷村中正路二段137號,049-2752874,06:30-21:30
D414X,沙鹿站,433 台中市沙鹿區台灣大道7段391號,04-26314644,00:00-24:00
D414Y,台中工業區加油加氣站,407 台中市西屯區福和里臺灣大道四段1047號,04-23592968,00:00-24:00
D414Z,社頭站,511 彰化縣社頭鄉員集路二段583號,04-8732534,00:00-24:00
D4150,埔里站,545 南投縣埔里鎮中山路三段172號,049-2982403,00:00-24:00
D4151,南門橋站,412 台中市大里區西榮里中興路二段691號,04-24826451,07:00-22:00
D4153,竹山站,557 南投縣竹山鎮竹山里集山路三段884號,049-2642304,07:00-22:00
D4154,清水站,436 台中市清水區中山路507-18號,04-26222464,00:00-24:00
D4155,水里站,553 南投縣水里鄉南光村民生路53號,049-2770244,07:00-22:00
D4156,彰化中山路站,500 彰化縣彰化市華北里中山路二段396號,04-7224496,00:00-24:00
D4157,溪州站,524 彰化縣溪州鄉溪州村中山路三段6號,04-8892079,07:00-22:00
D4159,田中站,520 彰化縣田中鎮南路里員集路一段783號,04-8742705,07:00-22:00
D415E,埤頭站,523 彰化縣埤頭鄉中和村彰水路一段499號,04-8897844,07:00-22:00
D415F,卓蘭站,369 苗栗縣卓蘭鎮中正西路101號,04-25892174,07:00-22:00
D415G,田尾站,522 彰化縣田尾鄉饒平村中山路一段393號,04-8831042,07:00-22:00
D415J,中寮站,541 南投縣中寮鄉永平村永平路349-13號,049-2691730,07:00-18:00
D415K,芳苑站,528 彰化縣芳苑鄉仁愛村斗苑路10號,04-8984558,07:00-22:00
D415L,太平站,411 台中市太平區太平里太平路651號,04-22787508,00:00-24:00
D415M,青海路站,407 台中市西屯區青海路二段211號,04-27015054,00:00-24:00
D415N,魚池站,555 南投縣魚池鄉魚池村魚池街772號,049-2895352,06:30-21:30
D415R,文心路站,407 台中市西屯區文心路三段2號,04-23131239,00:00-24:00
D415T,集集站,552 南投縣集集鎮林尾里民生路317號,049-2763894,07:00-22:00
D415U,向上路站,403 台中市西區向上路一段27號,04-23011800,00:00-24:00
D415V,大雅中清路站,428 台中市大雅區中清路三段951號,04-25664445,00:00-24:00
D415W,伸港站,509 彰化縣伸港鄉新港村新港路95號,04-7983424,07:00-22:00
D415X,梧棲站,435 台中市梧棲區八德路2號,04-26568415,00:00-24:00
D415Y,信義站,556 南投縣信義鄉明德村玉山路116號,049-2791837,06:30-21:30
D415Z,和平站,424 台中市和平區南勢里東關路三段5號,04-25941891,07:00-22:00
D4160,永靖站,512 彰化縣永靖鄉港西村中山路一段637號,04-8221945,07:00-22:00
D4161,霧峰站,413 台中市霧峰區中正路784號,04-23393270,07:00-22:00
D4162,后里站,421 台中市后里區三豐路427號,04-25562174,00:00-24:00
D4163,花壇站,503 彰化縣花壇鄉花壇村中山路一段384號,04-7862064,00:00-24:00
D4164,大雅路站,404 台中市北區中清路一段172號,04-22029046,07:00-22:00
D4165,北斗站,521 彰化縣北斗鎮大道里中山路二段207號,04-8882154,00:00-24:00
D4166,彰化中華路,500 彰化縣彰化市平和里新平路100號,04-7621186,07:00-22:00
D4167,北屯站,406 台中市北屯區北屯路436號,04-22435121,07:00-22:00
D4168,名間站,551 南投縣名間鄉中正村南雅街151號,049-2732629,06:30-21:30
D4169,南投站,540 南投縣南投市三民里彰南路二段71號,049-2222650,06:30-21:30
D416A,大城站,527 彰化縣大城鄉上山村魚寮路50號,04-8944223,07:00-22:00
D416E,青島路站,406 台中市北屯區文心路四段119號,04-22925400,00:00-24:00
D416F,昌平路站,406 台中市北屯區昌平路一段95號,04-22348061,07:00-22:00
D416G,永和街站,402 台中市南區和平里美村南路77號,04-22611600,07:00-22:00
D416H,二水站,530 彰化縣二水鄉裕民村南通路二段680號,04-8790305,07:00-22:00
D416J,東山路站,406 台中市北屯區東山路一段377-5號,04-22392062,07:00-22:00
D416K,公益路站,408 台中市南屯區公益路二段2號,04-23269700,00:00-24:00
D416L,坪頂站,434 台中市龍井區新庄里臺灣大道六段6號,04-26316507,07:00-22:00
D416M,霧峰林森路站,413 台中市霧峰區林森路455號,04-23339411,00:00-24:00
D416N,埔鹽站,516 彰化縣埔鹽鄉好修村員鹿路二段99號,04-8651196,07:00-22:00
D416R,石岡豐勢路站,422 台中市石岡區九房里明德路2號,04-25722984,00:00-24:00
D416T,員東路站,510 彰化縣員林市員東路二段413號,04-8329743,00:00-24:00
D416U,新社站,426 台中市新社區中正里中和街五段58號,04-25819102,06:30-21:30
D416V,五權西路站,402 台中市南屯區五權西路二段566號,04-23893367,00:00-24:00
D416W,松竹路站,406 台中市北屯區松和里松竹路二段４２７號,04-22451915,00:00-24:00
D416X,太平長億路站,411 台中市太平區太平路137號,04-22709613,07:00-22:00
D416Y,南崗工業區站,540 南投縣南投市平山里仁和路13號,049-2251460,00:00-24:00
D416Z,竹山延平站,557 南投縣竹山鎮延平里集山路二段869號,049-2649304,07:00-22:00
D4170,烏日站,414 台中市烏日區九德里中山路一段539號,04-23381514,00:00-24:00
D4171,復興路站,402 台中市南區復興路三段73號,04-22617800,00:00-24:00
D4172,公園路站,404 台中市北區三民路三段50號,04-22237535,00:00-24:00
D4173,福興站,506 彰化縣福興鄉橋頭村彰鹿路七段477號,04-7772534,00:00-24:00
D4174,日月潭站,555 南投縣魚池鄉水社村中山路20號,049-2855160,07:00-21:00
D4175,豐原大湳站,420 台中市豐原區三豐路一段432號,04-25225504,00:00-24:00
D4176,翁子站,420 台中市豐原區豐勢路一段588號,04-25225510,00:00-24:00
D4177,秀水站,504 彰化縣秀水鄉安東村彰水路一段30號,04-7692141,07:00-22:00
D4178,南投民族街站,540 南投縣南投市平和里民族街163號,049-2222741,06:30-21:30
D4179,振興路站,401 台中市東區泉源里建成路556號,04-22134096,07:00-22:00
D417A,埔心站,513 彰化縣埔心鄉瓦北村員鹿路一段421號,04-8293874,00:00-24:00
D417H,彰化彰興路站,500 彰化縣彰化市三村里一鄰彰興路二段81號,047-377187,07:00-22:00
D417J,員林快速道站,513 彰化縣埔心鄉瓦南村中山路281號,04-8398903,00:00-24:00
D417N,田中二站,彰化縣田中鎮北路里東閔路二段722號,04-8745633,07:00-22:00
D417R,烏日高鐵站,414 台中市烏日區建國路265號,04-23377492,07:00-21:00
D417T,南崗三路站,540 南投縣南投市南崗三路278-1號,049-2254902,00:00-24:00
D417U,成功嶺站,414 台中市烏日區榮泉路252號,04-23374286,07:00-22:00
D4180,豐原交流道站,429 台中市神岡區岸裡里中山路88號,04-25228204,00:00-24:00
D4240,新竹站,新竹市東區中華路二段347號,03-5225043,07:00-21:00
D4241,橫山站,312 新竹縣橫山鄉大肚村中豐路二段96號,03-5932902,07:00-21:00
D4242,竹東站,310 新竹縣竹東鎮東寧路一段2號,03-5962447,00:00-24:00
D4243,科學園區站,新竹市東區龍山里工業東二路2-2號,03-5779157,00:00-24:00
D4245,寶山站,308 新竹縣寶山鄉雙新村寶新路1段65號,03-5204346,07:00-21:00
D4246,關西站,306 新竹縣關西鎮中豐路二段50號,03-5872134,07:00-21:00
D4247,府前站,302 新竹縣竹北市縣政二路112號,03-5556350,00:00-24:00
D4248,竹北站,302 新竹縣竹北市中華路439號,03-5552154,07:00-22:00
D4249,湖口站,303 新竹縣湖口鄉湖鏡村中正路三段346號,03-5690155,07:00-22:00
D4250,尖石站,313 新竹縣尖石鄉嘉樂村麥樹仁2鄰66號,03-5842322,07:00-21:00
D4251,光復站,新竹市東區光復路二段716號,035-718604,00:00-24:00
D4253,香山站,300 新竹市香山區中華路五段54號,03-5383201,07:00-21:00
D4254,新湖口站,303 新竹縣湖口鄉中正路二段20號,03-5991267,07:00-22:00
D4256,新豐站,303 新竹縣湖口鄉鳳山村新興路330號,03-5592308,00:00-24:00
D4257,光明站,新竹市東區光復路二段1號,03-5716471,00:00-24:00
D4258,東林路站,310 新竹縣竹東鎮東林路105號,03-5957003,00:00-24:00
D4259,峨眉站,315 新竹縣峨眉鄉峨眉村3-1號,03-5800564,07:00-17:00
D4260,新庄子站,304 新竹縣新豐鄉重興村新庄路429號,03-5593274,07:00-21:00
D4262,北大路站,新竹市東區北大路374號,03-5227664,00:00-24:00
D4265,北埔站,314 新竹縣北埔鄉水?村麻布樹排20號,03-5802547,07:00-21:00
D4266,南寮站,300 新竹市北區東大路四段292號,03-5363424,07:00-21:00
D426C,通利站,苗栗縣通霄鎮平安里18鄰環市路二段1032號,037-764736,00:00-24:00
D426E,後龍站,356 苗栗縣後龍鎮中華路51-2號,037-722041,06:30-22:30
D426G,中苗站,360 苗栗縣苗栗市中正路442號,037-326764,00:00-24:00
D426H,中華路站,360 苗栗縣苗栗市中華路30號,037-266431,00:00-24:00
D426J,西湖站,368 苗栗縣西湖鄉湖東村埔頂9-3號,037-921048,07:00-21:00
D426L,銅鑼站,366 苗栗縣銅鑼鄉銅鑼村中正路151號,037-981124,07:00-21:00
D426M,通霄站,357 苗栗縣通霄鎮中山路297號,037-752075,07:00-21:00
D426N,山腳站,358 苗栗縣苑裡鎮舊社里158號,037-745074,07:00-21:00
D426P,自強路站,351 苗栗縣頭份市東庄里六鄰自強路二段170號,037-615343,07:00-21:00
D426R,苑裡站,358 苗栗縣苑裡鎮中山路19號,037-866747,00:00-24:00
D426T,三義站,367 苗栗縣三義鄉廣盛村中正路146號,037-872204,07:00-21:00
D426U,大湖站,364 苗栗縣大湖鄉富興村2-1號,037-991072,07:00-21:00
D426V,南平路站,351 苗栗縣頭份市蘆竹路270號,037-612746,07:00-21:00
D426W,頭份站,351 苗栗縣頭份市自強路2號,037-663242,00:00-24:00
D426X,蘆竹站,351 苗栗縣頭份市中華路444號,037-623740,07:00-21:00
D426Z,中正路站,350 苗栗縣竹南鎮中正路120號,037-463428,00:00-24:00
D4273,長安站,新竹縣湖口鄉湖口村八德路二段461號,03-5696829,07:00-21:00
D4275,豐興站,310 新竹縣竹東鎮北興路一段40號,03-5947002,07:00-21:00
D4278,奕承站,300 新竹市香山區景觀大道830號,03-5292057,07:00-22:00
D4279,長和站,300 新竹市北區經國路二段293號,03-5420762,07:00-22:00
D427A,竹南站,350 苗栗縣竹南鎮東平路101號,037-624865,07:00-21:00
D427F,三灣站,352 苗栗縣三灣鄉三灣村中正路7-2號,037-831137,07:00-21:00
D427G,南庄站,353 苗栗縣南庄鄉中正路197號,037-822401,07:00-18:00
D427H,頭屋站,362 苗栗縣頭屋鄉象山村198-3號,037-252723,00:00-24:00
D4340,博愛路站,嘉義市東區博愛路ㄧ段2號,05-2762353,07:00-21:00
D4341,新營站,730 台南市新營區開元路52號,06-6322503,07:00-18:00
D4342,斗六站,640 雲林縣斗六市雲林路二段334號,05-5322534,07:00-21:00
D4343,信義路站,600 嘉義市西區博愛路二段519號,05-2359381,00:00-24:00
D4344,西螺站,648 雲林縣西螺鎮大園里大同路38號,05-5862240,07:00-21:00
D4345,虎尾站,632 雲林縣虎尾鎮平和里光復路131號,05-6322524,07:00-21:00
D4346,吳鳳路站,嘉義市東區吳鳳南路92號,05-2224070,00:00-24:00
D4347,鹽水站,737 台南市鹽水區橋南里月津路53號,06-6521204,07:00-21:00
D4348,白河站,732 台南市白河區永安里新厝子142號,06-6852134,07:00-21:00
D4349,北港站,651 雲林縣北港鎮華勝路87號,05-7832618,07:00-21:00
D434A,梅山站,603 嘉義縣梅山鄉梅北村中山路746號,05-2622821,07:00-21:00
D434E,太保站,612 嘉義縣太保市春珠里春珠178號,05-3711635,07:00-21:00
D434F,六腳站,615 嘉義縣六腳鄉六腳村六腳路2-15號,05-3781175,07:00-21:00
D434G,蒜頭站,615 嘉義縣六腳鄉蒜頭村1-15號,05-3802944,07:00-21:00
D434H,布袋站,625 嘉義縣布袋鎮興中里上海路1號,05-3471410,07:00-21:00
D434J,二崙自強站,649 雲林縣二崙鄉大同村大同路21號,05-5984084,07:00-21:00
D434K,朴子山通路站,613 嘉義縣朴子市大鄉里大?榔625號,05-3799580,07:00-21:00
D434L,興嘉站,嘉義市東區車店里上海路246號,05-2353461,07:00-21:00
D434R,鹿草站,611 嘉義縣鹿草鄉後堀村山仔腳59號,05-3751219,07:00-21:00
D434T,褒忠站,634 雲林縣褒忠鄉埔姜村三民路231號,05-6974165,07:00-21:00
D434U,大林中正路站,622 嘉義縣大林鎮中正路801號,05-2659202,07:00-21:00
D434V,斗六南環路站,640 雲林縣斗六市文化路522號,05-5339692,00:00-24:00
D434W,斗南中興路站,630 雲林縣斗南鎮中興路201號,05-5961172,07:00-21:00
D434X,東山站,733 台南市東山區東正里東勢240號,06-6800021,07:00-21:00
D434Y,雲林東勢站,635 雲林縣東勢鄉復興村文化路2-10號,05-6993200,07:00-21:00
D434Z,北興站,600 嘉義市西區自由路436號,05-2348070,07:00-21:00
D4350,大林站,622 嘉義縣大林鎮中正路260號,05-2652049,07:00-21:00
D4351,斗南站,630 雲林縣斗南鎮延平路二段165號,05-5972320,00:00-24:00
D4353,民雄站,621 嘉義縣民雄鄉建國路二段329號,05-2262145,07:00-21:00
D4354,柳營站,736 台南市柳營區柳營路三段300號,06-6222041,07:00-21:00
D4355,莿桐站,647 雲林縣莿桐鄉中山路251號,05-5842054,07:00-21:00
D4356,土庫站,633 雲林縣土庫鎮建國路131號,05-6622644,07:00-21:00
D4357,崙背站,637 雲林縣崙背鄉南陽村正義路123號,05-6962049,07:00-21:00
D4358,後壁站,731 台南市後壁區後壁里42號,06-6871004,07:00-21:00
D4359,南靖站,608 嘉義縣水上鄉三鎮路101-1號,05-2682029,07:00-21:00
D435A,水林站,652 雲林縣水林鄉水北村顏厝寮97號,05-7854194,07:00-21:00
D435F,民雄保生街站,621 嘉義縣民雄鄉保生街220號,05-2268625,07:00-21:00
D435G,大埔站,607 嘉義縣大埔鄉和平村雙溪14-3號,05-2521484,07:00-18:00
D435H,番路站,602 嘉義縣番路鄉下坑村下坑40-2號,05-2592386,07:00-21:00
D435J,義和站,647 雲林縣莿桐鄉義和村三和37-5號,05-5844090,00:00-24:00
D435K,馬光站,633 雲林縣土庫鎮後埔里後埔路500號,05-6651124,07:00-21:00
D435L,北港新德路站,651 雲林縣北港鎮新街里新德路27號,05-7824045,07:00-21:00
D435R,石卓站,604 嘉義縣竹崎鄉中和村永和1-1號,05-2561944,07:30-18:00
D435U,民工站,621 嘉義縣民雄鄉福樂村中山路37號,05-2206537,07:00-21:00
D4360,新港站,616 嘉義縣新港鄉菜公村菜公厝64-1號,05-3742054,00:00-24:00
D4361,義竹站,624 嘉義縣義竹鄉義竹村118號之6,05-3412054,07:00-21:00
D4362,林內站,643 雲林縣林內鄉林中村中正路532號,05-5892048,07:00-21:00
D4363,文化路站,600 嘉義市東區文化路11號,05-2226551,07:00-21:00
D4364,虎尾新生路站,632 雲林縣虎尾鎮新生路155號,05-6322812,00:00-24:00
D4365,二崙站,649 雲林縣二崙鄉崙東村中山路一段102號,05-5982056,07:00-21:00
D4366,中山路站,嘉義市東區中山路90號,05-2789320,07:00-21:00
D4367,四湖站,654 雲林縣四湖鄉施湖村中山西路199號,05-7872053,07:00-21:00
D4368,林森路站,600 嘉義市西區林森西路281號,05-2279744,07:00-22:00
D4369,三民路站,730 台南市新營區三民路61號,06-6323343,07:00-22:00
D436A,馬公站,880 澎湖縣馬公市民福路18號,06-9272595,07:00-22:00
D436E,通梁站,884 澎湖縣白沙鄉通梁村25-1號,06-9931021,08:00-17:00
D436F,湖西站,885 澎湖縣湖西鄉湖西村77-15號,06-9921064,07:00-16:00
D436H,七美站,883 澎湖縣七美鄉南港村11鄰1-2號(備註：週六歇業),06-9971255,08:00-16:00
