站代號,站名,地址,電話,提供服務時段,愛心洗車站
D4140,彰化站,500 彰化縣彰化市和調里中山路三段27號,04-7222759,08:00~17:30,是
D4143,草屯站,542 南投縣草屯鎮玉峰里中正路880號,049-2362049,07:00~19:00,否
D4145,大甲站,437 台中市大甲區頂店里中山路一段1120號,04-26872314,08.00~20:00,否
D4147,台中營業處員林加油站,510 彰化縣員林市三多里中山路二段495號,04-8320294,08:00~20:00,否
D4148,二林站,526 彰化縣二林鎮豐田里二溪路一段212號,04-8960049,07:30~20:00,是
D4149,東勢站,423 台中市東勢區粵寧里豐勢路678號,04-25872454,08:00~21:00,否
D414E,埔里中山路站,545 南投縣埔里鎮中山路二段141號,049-2982844,08:00~20:00,否
D414F,國聖站,500 彰化縣彰化市國聖里中山路三段708號,04-7321540,07:00~20:00,否
D414J,台中營業處台中港加油站,436 台中市清水區海演里臨港路6段1號,04-26562247,24H,否
D414K,台中營業處芬園加油站,502 彰化縣芬園鄉彰南路四段354號,049-2522244,,否
D414M,南投三和站,540 南投縣南投市三和里中興路549號,049-2227255,08:00~19:00,否
D414T,和美站,508 彰化縣和美鎮和東里彰美路五段85號,04-7553024,08:00~20:00,否
D414V,台中營業處台中外埔加油站,438 台中市外埔區大同里甲后路三段758號,04-26833350,7:00-22:00,否
D414W,台中營業處鹿谷加油站,558 南投縣鹿谷鄉鹿谷村中正路二段137號,049-2752874,,否
D414X,沙鹿站,433 台中市沙鹿區台灣大道7段391號,04-26314644,08:00~20:00,否
D414Y,台中工業區加油加氣站,407 台中市西屯區福和里臺灣大道四段1047號,04-23592968,08:00~20:00,否
D414Z,社頭站,511 彰化縣社頭鄉員集路二段583號,04-8732534,08:00~20:00,否
D4151,南門橋站,412 台中市大里區西榮里中興路二段691號,04-24826451,08:00~18:00,是
D4152,溪湖站,514 彰化縣溪湖鎮東寮里彰水路4段93號,04-8852244,08:00~20:00,否
D4154,清水站,436 台中市清水區中山路507-18號,04-26222464,08:00~17:00,否
D4155,台中營業處水里加油站,553 南投縣水里鄉南光村民生路53號,049-2770244,,否
D415A,台中營業處大安加油站,439 台中市大安區東安里8鄰中山南路193號,04-26712249,7:00-22:00,否
D415E,台中營業處埤頭加油站,523 彰化縣埤頭鄉中和村彰水路一段499號,04-8897844,,否
D415H,台中營業處日南加油站,437 台中市大甲區經國路1666號,04-26871037,24H,否
D415J,台中營業處中寮加油站,541 南投縣中寮鄉永平村永平路349-13號,049-2691730,,否
D415M,青海路站,407 台中市西屯區青海路二段211號,04-27015054,08:00~18:00,否
D415N,台中營業處魚池加油站,555 南投縣魚池鄉魚池村魚池街772號,049-2895352,,否
D415T,台中營業處集集加油站,552 南投縣集集鎮林尾里民生路317號,049-2763894,,否
D415U,向上路站,403 台中市西區向上路一段27號,04-23011800,08:00~19:00,否
D415V,大雅中清路站,428 台中市大雅區中清路三段951號,04-25664445,08:00~18:00,否
D415Y,台中營業處信義加油站,556 南投縣信義鄉明德村玉山路116號,049-2791837,,否
D4161,霧峰站,413 台中市霧峰區中正路784號,04-23393270,08:00~19:00,否
D4162,台中營業處后里加油站,421 台中市后里區三豐路427號,04-25562174,24H,否
D4167,台中營業處北屯加油站,406 台中市北屯區北屯路436號,04-22435121,,否
D4168,台中營業處名間加油站,551 南投縣名間鄉中正村南雅街151號,049-2732629,,否
D4169,南投站,540 南投縣南投市三民里彰南路二段71號,049-2222650,08:00~20:00,否
D416E,青島路站,406 台中市北屯區文心路四段119號,04-22925400,08:00~17:30,否
D416F,昌平路站,406 台中市北屯區昌平路一段95號,04-22348061,08:00~18:00,否
D416H,二水站,530 彰化縣二水鄉裕民村南通路二段680號,04-8790305,08:30~17:00,否
D416J,東山路站,406 台中市北屯區東山路一段377-5號,04-22392062,08:00~20:00,否
D416M,霧峰林森路站,413 台中市霧峰區林森路455號,04-23339411,08:00~20:00,否
D416N,台中營業處埔鹽加油站,516 彰化縣埔鹽鄉好修村員鹿路二段99號,04-8651196,,否
D416T,台中營業處員林員東路加油站,510 彰化縣員林市員東路二段413號,04-8329743,,否
D416U,新社站,426 台中市新社區中正里中和街五段58號,04-25819102,08:00~18:00,否
D416V,台中營業處台中五權西路加油站,402 台中市南屯區五權西路二段566號,04-23893367,,否
D416W,松竹路站,406 台中市北屯區松和里松竹路二段４２７號,04-22451915,08:00~17:30,否
D416Y,南崗工業區站,540 南投縣南投市平山里仁和路13號,049-2251460,08:00~20:00,否
D416Z,台中營業處竹山延平路加油站,557 南投縣竹山鎮延平里集山路二段869號,049-2649304,,否
D4170,台中營業處烏日加油站,414 台中市烏日區九德里中山路一段539號,04-23381514,,否
D4172,台中營業處公園路加油站,404 台中市北區三民路三段50號,04-22237535,,否
D4173,福興站,506 彰化縣福興鄉橋頭村彰鹿路七段477號,04-7772534,08:00~18:00,否
D4176,翁子站,420 台中市豐原區豐勢路一段588號,04-25225510,08:00~20:00,否
D4177,台中營業處秀水加油站,504 彰化縣秀水鄉安東村彰水路一段30號,04-7692141,,否
D4178,台中營業處南投民族街加油站,540 南投縣南投市平和里民族街163號,049-2222741,,否
D4179,台中營業處振興路加油站,401 台中市東區泉源里建成路556號,04-22134096,,否
D417A,埔心站,513 彰化縣埔心鄉瓦北村員鹿路一段421號,04-8293874,08:00~18:00,是
D417E,橋頭站,510 彰化縣員林市員集路一段46號,04-8721990,08:00~20:00,否
D417M,台中工業區南站,台中市南屯區工業區18路26號之1,04-23595269,07:00~20:00,否
D417N,台中營業處田中二站加油站,彰化縣田中鎮北路里東閔路二段722號,04-8745633,,否
D417R,台中營業處烏日高鐵加油站,414 台中市烏日區建國路265號,04-23377492,,否
D417T,南崗三路站,540 南投縣南投市南崗三路278-1號,049-2254902,07:00~20:00,否
D417V,台中營業處追分加油站,432 台中市大肚區沙田路一段167號,04-26937955,7:00-22:00,否
D4241,橫山站,312 新竹縣橫山鄉大肚村中豐路二段96號,03-5932902,07:00-17:00,否
D4242,竹東站,310 新竹縣竹東鎮東寧路一段2號,03-5962447,08:00-20:00,是
D4243,桃竹苗營業處科學園區加油站,新竹市東區龍山里工業東二路2-2號,03-5779157,24H,否
D4245,桃竹苗營業處寶山加油站,308 新竹縣寶山鄉雙新村寶新路1段65號,03-5204346,7:00-21:00,否
D4246,關西站,306 新竹縣關西鎮中豐路二段50號,03-5872134,08:00-19:00,是
D4247,府前站,302 新竹縣竹北市縣政二路112號,03-5556350,08:00-20:00,是
D4248,竹北站,302 新竹縣竹北市中華路439號,03-5552154,08:00-19:00,是
D4252,新埔站,305 新竹縣新埔鎮中正路902號,03-5882174,08:00-20:00,否
D4253,香山站,300 新竹市香山區中華路五段54號,03-5383201,07:00-19:00,否
D4254,新湖口站,303 新竹縣湖口鄉中正路二段20號,03-5991267,08:00-19:00,是
D4256,竹苗營業處新豊加油站,303 新竹縣湖口鄉鳳山村新興路330號,03-5592308,08:00-19:00,是
D4257,光明站,新竹市東區光復路二段1號,03-5716471,09:00-21:00,是
D4258,桃竹苗營業處東林路加油站,310 新竹縣竹東鎮東林路105號,03-5957003,08:00-19:00,是
D426C,通利站,苗栗縣通霄鎮平安里18鄰環市路二段1032號,037-764736,08:00~19:00,否
D426E,後龍站,356 苗栗縣後龍鎮中華路51-2號,037-722041,07:00~19:00,是
D426G,中苗站,360 苗栗縣苗栗市中正路442號,037-326764,07:00~21:00,是
D426H,中華路站,360 苗栗縣苗栗市中華路30號,037-266431,08:00~19:00,是
D426L,銅鑼站,366 苗栗縣銅鑼鄉銅鑼村中正路151號,037-981124,07:00~18:00,是
D426P,自強路站,351 苗栗縣頭份市東庄里六鄰自強路二段170號,037-615343,07:00~19:00,否
D426U,大湖站,364 苗栗縣大湖鄉富興村2-1號,037-991072,08:00~19:00,否
D426W,頭份站,351 苗栗縣頭份市自強路2號,037-663242,07:00~21:00,是
D426Z,中正路站,350 苗栗縣竹南鎮中正路120號,037-463428,07:00~21:00,是
D4273,長安站,新竹縣湖口鄉湖口村八德路二段461號,03-5696829,07:00-20:00,否
D4278,桃竹苗營業處奕承加油站,300 新竹市香山區景觀大道830號,03-5292057,07:00-22:00,否
D427A,竹南站,350 苗栗縣竹南鎮東平路101號,037-624865,07:00~19:00,否
D427H,頭屋站,362 苗栗縣頭屋鄉象山村198-3號,037-252723,07:00~19:00,否
D4342,斗六站,640 雲林縣斗六市雲林路二段334號,05-5322534,7:00~21:00,否
D4343,信義路站,600 嘉義市西區博愛路二段519號,05-2359381,08:00~20:00,否
D4344,西螺站,648 雲林縣西螺鎮大園里大同路38號,05-5862240,08:30~16:30,否
D4345,虎尾站,632 雲林縣虎尾鎮平和里光復路131號,05-6322524,7:00~21:00,否
D4346,吳鳳路站,嘉義市東區吳鳳南路92號,05-2224070,08:00~18:00,否
D434A,梅山站,603 嘉義縣梅山鄉梅北村中山路746號,05-2622821,08:00~17:00,否
D434E,太保站,612 嘉義縣太保市春珠里春珠178號,05-3711635,08:00~12:00  13:00~17:00,否
D434H,布袋站,625 嘉義縣布袋鎮興中里上海路1號,05-3471410,07:00~21:00,否
D434J,二崙自強站,649 雲林縣二崙鄉大同村大同路21號,05-5984084,7:00~21:00,否
D434K,嘉南營業處朴子山通路加油站,613 嘉義縣朴子市大鄉里大?榔625號,05-3799580,07:00~17:00,否
D434R,鹿草站,611 嘉義縣鹿草鄉後堀村山仔腳59號,05-3751219,07:00~11:00   13:00~17:00,否
D434T,褒忠站,634 雲林縣褒忠鄉埔姜村三民路231號,05-6974165,7:00~21:00,否
D434U,大林中正路站,622 嘉義縣大林鎮中正路801號,05-2659202,07:00~19:00,否
D434V,斗六南環路站,640 雲林縣斗六市文化路522號,05-5339692,7:30~17:30,否
D4350,大林站,622 嘉義縣大林鎮中正路260號,05-2652049,08:00~18:00,否
D4351,斗南站,630 雲林縣斗南鎮延平路二段165號,05-5972320,8:00~17:00,是
D4353,民雄站,621 嘉義縣民雄鄉建國路二段329號,05-2262145,07:30~19:00,否
D4354,柳營站,736 台南市柳營區柳營路三段300號,06-6222041,07:00~21:00,否
D4357,崙背站,637 雲林縣崙背鄉南陽村正義路123號,05-6962049,7:00~19:00,否
D4358,後壁站,731 台南市後壁區後壁里42號,06-6871004,08:00~17:00,否
D435A,水林站,652 雲林縣水林鄉水北村顏厝寮97號,05-7854194,9:00~17:00,否
D435H,番路站,602 嘉義縣番路鄉下坑村下坑40-2號,05-2592386,07:00~21:00,否
D435J,義和站,647 雲林縣莿桐鄉義和村三和37-5號,05-5844090,7:00~17:00,否
D435U,民工站,621 嘉義縣民雄鄉福樂村中山路37號,05-2206537,07:00~21:00,否
D4360,新港站,616 嘉義縣新港鄉菜公村菜公厝64-1號,05-3742054,08:00~17:00,否
D4364,虎尾新生路站,632 雲林縣虎尾鎮新生路155號,05-6322812,7:00~17:00,是
D4367,四湖站,654 雲林縣四湖鄉施湖村中山西路199號,05-7872053,7:00~21:00,否
D436A,嘉南營業處馬公汽車加油站,880 澎湖縣馬公市民福路18號,06-9272595,,否
D4370,麥寮站,638 雲林縣麥寮鄉麥豐村中山路12號,05-6932174,7:00~21:00,否
D4371,嘉義營業處台西加油站,636 雲林縣台西鄉中山路36號,05-6982124,7:00~21:00,否
D4372,元長站,655 雲林縣元長鄉長南村中山路４號,05-7882170,7:00~18:00,否
D4374,竹崎站,604 嘉義縣竹崎鄉和平村田寮52號,05-2611714,07:00~20:00,否
D4376,口湖站,653 雲林縣口湖鄉湖東村中正路一段99號,05-7892504,9:00~17:00,否
D4378,溪口站,623 嘉義縣溪口鄉溪東村民族西路１號,05-2691700,09:00~17:00,否
D4379,中埔站,606 嘉義縣中埔鄉中埔村中埔161-4號,05-2532046,08:00~17:00,否
D4390,橋南站,638 雲林縣麥寮鄉橋頭村1鄰橋頭34號,05-6913386,7:00~20:30,否
D4397,嘉保站,嘉義縣太保市安仁里嘉朴東路1段116號,05-3623558,08:00~12:30 13:30~17:00,否
D4398,大義路站,嘉義縣中埔鄉和美村大義路515號,05-2300875,09:00~19:00,是
D439L,白河交流道站,台南市白河區河東里9鄰糞箕湖122之15號,06-6831091,08:00~17:00,否
D43W2,雅虎站,雲林縣斗六市虎溪里西平路776號,05-5514796,8:00~17:00,否
D43W5,嘉義高鐵南站,600 嘉義市西區大溪里高鐵大道925號,05-2382079,07:00~21:00,否
D43W7,朴子二站,613 嘉義縣朴子市大鄉里大?榔852號,05-3704635,07:00~21:00,否
D505B,麻豆站,721 台南市麻豆區中山路13號,06-5722254,08:00~20:00,否
D505I,大灣站,710 台南市永康區建國里復興路69號,06-2724010,07:00~18:00,否
D505P,府前路站,700 台南市中西區府前路二段256號,06-2971568,07:00~19:00,否
D505V,中華路東站,701 台南市東區中華東路三段171號,06-2674935,08:00~20:00,否
D505W,中華路西站,701 台南市東區中華東路三段170號,06-2673501,07:00~21:00,否
D505Z,佳里仁愛路站,722 台南市佳里區仁愛路67號,06-7229504,08:00~18:00,否
D506B,大湖站,829 高雄市湖內區大湖里中山路一段72號,07-6931793,08:00~17:00,否
D506C,安中路站,709 台南市安南區安中路四段446號,06-2569825,08:00~19:00,否
D506M,永華路東,708 台南市安平區永華路二段216號,06-2992048,08:00~17:00,否
D506N,中華西路南站,700 台南市中西區中華西路二段2號,06-2970350,07:00~20:00,否
D506Q,下營站,735 台南市下營區中山路一段386號,06-6892054,08:00~18:00,否
D506S,西港站,723 台南市西港區西港里中山路52號,06-7952124,07:00~21:00,否
D506Z,嘉南營業處慶平路加油站,708 台南市安平區慶平路485號,06-2970189,07:30~20:00,否
D507A,健康路站,台南市安平區健康路三段238號,06-2997901,08:00~20:45,是
D507B,灣裡站,702 台南市南區明興路1081號,06-2626810,07:00~21:00,否
D507D,中油南科站,744 台南市新市區南科二路3號,06-5051229,08:00~20:00,否
D507J,和順站,709 台南市安南區安和路四段335號,06-3559301,08:00~19:00,否
D507N,大同路站,702 台南市南區大同路二段380號,06-2153503,08:00~19:00,是
D507P,楠西站,715 台南市楠西區東勢里中正路359號,06-5751427,AM09:00~12:00;PM01:00~06:00,否
D507Q,安平工業區站,702 台南市南區中華西路一段65號,06-2654022,08:00~18:00,否
D507S,將軍站,725 台南市將軍區忠興里忠興162-1號,06-7942205,08:00~17:00,否
D507T,歸仁站,711 台南市歸仁區中山路三段201號,06-2301003,7:30~18:30,否
D507W,甲仙站,847 高雄市甲仙區大田里新興路55號,07-6751555,08:00~11:00;14:00~17:00,否
D507X,安順站,709 台南市安南區安中路一段650號,06-2569187,08:00~18:00,否
D507Y,中油安定交流道站,745 台南市安定區安加里安定258-12號,06-5921844,08:00~18:00,是
D509B,育平路站,708 台南市安平區育平路80號,06-2933845,07:00~20:00,否
D509G,中油永交站,台南市永康區中正北路319號,06-2436250,08:00~17:00,否
D50W9,安平古堡站,700 台南市中西區西賢里31鄰民權路四段730號,06-3587703,07:00~21:00,否
D5146,後勁站,811 高雄市楠梓區後昌路200號,07-3613018,平日09:30~18:30；假日 09:00~18:30,否
D5147,左營站,813 高雄市左營區中華一路2-11號,07-5825621,08:30~18:30,否
D514G,林園站,832 高雄市林園區林園北路350號,07-6412285,07:30~20:00,否
D514K,建工路站,807 高雄市三民區建工路566號,07-3832928,08:00~20:00,否
D5155,鳳山站,830 高雄市鳳山區中山東路10號,07-7462492,08:30~20:30,否
D5156,忠孝路站,900 屏東縣屏東市忠孝路209-1號,08-7337759,08:00~19:00,否
D515A,林森二路站,800 高雄市新興區新田路82號,07-2819638,08:00~20:00,是
D515K,水門站,912 屏東縣內埔鄉水門村中山路1號,08-7991585,,否
D515U,新園站,932 屏東縣新園鄉內庄村興安路54號,08-8684312,08:00-19:30,否
D515Y,高雄營業處民權路加油站,806 高雄市前鎮區一心一路291號,07-3316290,10：00～18：00,否
D5161,恆春站,946 屏東縣恆春鎮網紗里省北路7號,08-8892635,08:00~20:00,否
D5164,橋頭站,825 高雄市橋頭區橋頭里成功北路15號,07-6113644,08:00~12:00；13:00~17:00,否
D5165,高鳳站,802 高雄市苓雅區建國一路3號,07-7491901,07:30~21:00,是
D516E,麟洛站,909 屏東縣麟洛鄉麟蹄村中山路64號,08-7233148,07:00-22:00,否
D516F,覺民路站,807 高雄市三民區覺民路362號,07-3869992,08:00~20:00,否
D516L,墾丁站,946 屏東縣恆春鎮墾丁里墾丁路402號,08-8861408,07:00-21:00,否
D516T,和生路站,900 屏東縣屏東市橋南里和生路一段560號,08-7536740,07:00-21:00,否
D516U,九如東寧站,904 屏東縣九如鄉東寧村九如路一段16號,08-7390078,09:00~19:00,否
D516X,崁頂站,924 屏東縣崁頂鄉崁頂村中正路251號,08-8632842,07:00-20:00,否
D5171,建國一路站,802 高雄市苓雅區建國一路142號,07-7518715,08:00~19:30,否
D5173,復興路站,900 屏東縣屏東市復興路261號,08-7525421,08:00~20:00,否
D5174,青年路站,802 高雄市苓雅區民權一路105號,07-3352549,07:45~20:00,是
D5178,小港站,812 高雄市小港區大業北路45號,07-8023938,09:00~20:00,否
D6140,港口站,970 花蓮縣花蓮市吉林路2號,03-8228640,08:00~12:00；13:00~17:00,是
D6142,玉里站,981 花蓮縣玉里鎮大同路219號,03-8882307,08:00~12:00；13:00~17:00,否
D6143,東區營業處太魯閣加油站,972 花蓮縣秀林鄉富世村154-1號,03-8611009,07:00~19:00,否
D6144,東區營業處光復加油站,976 花蓮縣光復鄉中山路二段340號,03-8701070,08:00~16:00,否
D6145,東區營業處鳳林加油站,975 花蓮縣鳳林鎮中正路一段371號,03-8762114,07:00~21:00,否
D6146,南埔站,973 花蓮縣吉安鄉仁和村中正路二段6號,03-8522853,08:00~12:00；13:00~17:00,否
D6148,東區營業處豐濱加油站,977 花蓮縣豐濱鄉豐濱村光豐路53號,03-8791134,08:00~17:00,否
D6149,壽豐站,974 花蓮縣壽豐鄉壽豐路一段1號,03-8655891,08:00~12:00；13:00~17:00,否
D6150,北埔站,971 花蓮縣新城鄉北埔村北埔路368號,03-8266825,08:00~12:00；13:00~17:00,否
D6151,中山路站,970 花蓮縣花蓮市中山路752號,03-8561117,08:00~12:00；13:00~17:00,否
D6153,東區營業處和平加油站,972 花蓮縣秀林鄉和平村和平路32-1號,03-8681261,07:00~21:00,否
D6155,東區營業處馬太鞍加油站,976 花蓮縣光復鄉林森路300號,03-8700125,07:00~21:00,否
D615B,巨豐站,973 花蓮縣吉安鄉勝安村和平路一段45號,03-8462947,08:00~12:00；13:00~17:00,否
D6160,羅東站,268 宜蘭縣五結鄉中正路二段94號,03-9654651,07:00~18:00,是
D6161,宜蘭站,260 宜蘭縣宜蘭市中山路五段139號,039-282621,07:00~20:00,否
D6162,東區營業處蘇澳加油站,270 宜蘭縣蘇澳鎮中山路一段196號,03-9963524,07:00~21:00,否
D6163,中正南路站,265 宜蘭縣羅東鎮中正南路9號,039-543031,09:00~17:00,否
D6164,礁溪站,262 宜蘭縣礁溪鄉礁溪路六段28號,039-882170,07:00~20:30,否
D6165,員山站,264 宜蘭縣員山鄉員山路一段31號,039-223041,07:00~21:00,否
D6166,頭城站,261 宜蘭縣頭城鎮開蘭路300號,03-9771644,07:00~20:00,是
D6167,三星站,266 宜蘭縣三星鄉三星路四段235號,039-892219,07:00~18:00,否
D6168,壯圍站,263 宜蘭縣壯圍鄉吉祥村壯五路391號,039-381161,07:00~17:30,否
D6169,馬賽站,270 宜蘭縣蘇澳鎮蘇濱路二段459號,03-9905422,08:00~18:00,否
D616C,新水站,268 宜蘭縣五結鄉五濱路二段206號,039-504374,08:00~17:00,否
D616D,冬山站,269 宜蘭縣冬山鄉冬山路二段260號,039-591316,07:00~18:00,否
D616E,東區營業處大褔加油站,263 宜蘭縣壯圍鄉壯濱路五段310號,039-301864,07:00~20:30,否
D616F,東區營業處大同加油站,267 宜蘭縣大同鄉崙埤村泰雅路1段92號,039-801181,08:00~17:00,否
D6170,馬蘭站,950 台東縣台東市更生路653號,089-226401,08:00~18:00,否
D6171,中山路站,950 台東縣台東市新生路136號,089-323132,07:00~20:00,否
D6172,東區營業處成功加油站,961 台東縣成功鎮中山路43號,089-851069,08:00~18:00,否
D6173,關山站,956 台東縣關山鎮和平路24號,089-811124,07:00~19:00,否
D6174,池上站,958 台東縣池上鄉福原村中山路25號,089-862634,07:00~19:00,否
D6175,太麻里站,963 台東縣太麻里鄉泰和村1鄰太麻里街157號,089-781303,08:00~20:00,否
D6177,東區營業處大武加油站,965 台東縣大武鄉尚武村尚武路8號,089-791453,08:00~18:00,否
D6178,東區營業處知本加油站,950 台東縣台東市青海路四段270號,089-512284,07:00~21:00,否
D617A,豐里站,950 台東縣台東市中華路二段732號,089-329691,08:00~18:00,否
D617C,富里站,983 花蓮縣富里鄉石牌村中興路85號,038-831285,08:00~18:00,否
D617D,卑南站,950 台東縣台東市更生北路20號,089-222010,07:30~19:30,否
D617F,初鹿站,954 台東縣卑南鄉明峰村13鄰忠孝路32號,089-571742,07:00~19:00,否
