加油站代號,加油站名稱,加油站地址,加油站電話,煤油品項,是否有庫存
D216F,永和永利路站,234新北市永和區永利路69號,02-29212541,20L聽裝煤油 (026,是
D216H,蘆洲中山二路站,   新北市蘆洲區中山二路309號,02-22859867,20L聽裝煤油 (026,是
D216J,大埔站,237新北市三峽區中正路二段165號,02-26710050,20L聽裝煤油 (026,是
D216K,五股工業區站,242新北市新莊區五工路99-3號(周日營業時間:09~18),02-22980057,20L聽裝煤油 (026,否
D216L,大直站,104台北市中山區明水路661號,02-25320154,20L聽裝煤油 (026,是
D216R,埔墘站,220新北市板橋區中山路二段320號,02-29553436,20L聽裝煤油 (026,是
D216U,內湖麗山街站,114台北市內湖區內湖路一段362號,02-26577339,20L聽裝煤油 (026,是
D216V,淡海新市鎮站,251新北市淡水區埤島里二鄰淡金路2段599號,02-26228923,20L聽裝煤油 (026,是
D216Y,安康加油加氣站,   台北市內湖區安康路284號(加氣部份暫停營業),02-27909413,20L聽裝煤油 (026,是
D2170,五股站,248新北市五股區中興路四段21號,02-22917541,20L聽裝煤油 (026,是
D2171,重陽路,241新北市三重區忠孝路一段１號,02-29718645,20L聽裝煤油 (026,是
D2172,新生北路站,104台北市中山區新生北路二段71號,02-25815206,20L聽裝煤油 (026,是
D2173,土城廣福路站,236新北市土城區四川路１號,02-89672580,20L聽裝煤油 (026,是
D2174,土城站,236新北市土城區中央路二段280號,02-22602808,20L聽裝煤油 (026,是
D2176,光復北路站,105台北市松山區光復北路13號,02-27674900,20L聽裝煤油 (026,是
D2177,大豐站,231新北市新店區北新路二段205號,02-29117053,20L聽裝煤油 (026,否
D2178,林森北路站,104台北市中山區林森北路11號,02-23410686,20L聽裝煤油 (026,是
D2179,積穗站,235新北市中和區中山路二段550號,02-22219719,20L聽裝煤油 (026,是
D217F,新店中正路站,   新北市新店區中正路470號,02-22192678,20L聽裝煤油 (026,是
D217J,蘆洲三民路站,247新北市蘆洲區三民路550號,02-22890485,20L聽裝煤油 (026,是
D217K,濱江大直橋加油加氣站,105台北市松山區濱江街373號,02-25177975,20L聽裝煤油 (026,是
D234C,武陵站,330桃園市桃園區中山路1020號,03-3604492,20L聽裝煤油 (026,否
D234D,中山路站,330桃園市桃園區中山路522號,03-3323504,20L聽裝煤油 (026,是
D234F,迴龍站,333桃園市龜山區龍壽里萬壽路一段383號,02-82093915,20L聽裝煤油 (026,是
D234G,林口工三,333桃園市龜山區樂善里文化一路33號,03-3282232,20L聽裝煤油 (026,是
D234H,龜山站,333桃園市龜山區萬壽路二段640號,03-3296223,20L聽裝煤油 (026,否
D234M,蘆竹站,338桃園市蘆竹區錦興里中正路342號,03-3224714,20L聽裝煤油 (026,是
D234N,三民路站,330桃園市桃園區三民路一段150號,03-3348425,20L聽裝煤油 (026,是
D234T,桃園機場第三站,337桃園市大園區埔心里航勤南路2號,03-3834374,20L聽裝煤油 (026,是
D234V,大園站,337桃園市大園區中正東路58號,03-3862243,20L聽裝煤油 (026,是
D234W,大竹站,338桃園市蘆竹區大竹里大竹路503號,03-3232425,20L聽裝煤油 (026,是
D234X,春日路站,330桃園市桃園區春日路971號,03-3550381,20L聽裝煤油 (026,是
D234Y,平鎮站,324桃園市平鎮區延平路二段152號,03-4934734,20L聽裝煤油 (026,是
D234Z,埔心站,326桃園市楊梅區中山北路二段308號,03-4826370,20L聽裝煤油 (026,是
D235A,楊梅站,326桃園市楊梅區中山路96號,03-4782205,20L聽裝煤油 (026,是
D235C,梅溪加油加氣站,326桃園市楊梅區中山北路一段391號,03-4782632,20L聽裝煤油 (026,是
D235D,新富站,   桃園市平鎮區新富里中豐路一段298號,03-4573401,20L聽裝煤油 (026,是
D235E,建龍站,325桃園市龍潭區烏林里中豐路716號,03-4792578,20L聽裝煤油 (026,是
D235F,新坡站,328桃園市觀音區大同里中山路二段794號,03-2825887,20L聽裝煤油 (026,是
D235G,新屋站,327桃園市新屋區中山路85號,03-4772644,20L聽裝煤油 (026,是
D235H,觀音站,328桃園市觀音區廣興里中山路一段166號,03-4735944,20L聽裝煤油 (026,是
D235J,龍潭站,325桃園市龍潭區北龍路264號,03-4792614,20L聽裝煤油 (026,是
D235K,富岡站,326桃園市楊梅區民富路三段574號,03-4722045,20L聽裝煤油 (026,否
D235L,介壽路站,330桃園市桃園區介壽路324號,03-3615070,20L聽裝煤油 (026,否
D235M,八德站,   桃園市八德區竹園里長興路556號,03-3651042,20L聽裝煤油 (026,是
D235N,茄苳站,   桃園市八德區茄苳里中華路575號,03-3696978,20L聽裝煤油 (026,是
D235P,獅子王站,326桃園市楊梅區幼獅工業區獅二路16號,03-4961585,20L聽裝煤油 (026,否
D235Q,中壢工業區加油加氣站,320桃園市中壢區中華路二段230號,03-4521948,20L聽裝煤油 (026,否
D235R,中壢工二站,320桃園市中壢區吉林路37巷15號,03-4620443,20L聽裝煤油 (026,是
D235T,中壢站,320桃園市中壢區延平路33號,03-4522044,20L聽裝煤油 (026,是
D235U,龍岡站,320桃園市中壢區環中東路二段659號,03-4592501,20L聽裝煤油 (026,否
D235V,大溪站,335桃園市大溪區瑞興里20鄰瑞安路一段268號,03-3801304,20L聽裝煤油 (026,是
D235X,慈湖站,335桃園市大溪區復興路一段970號,03-3881410,20L聽裝煤油 (026,是
D235Y,復興站,336桃園市復興區澤仁里中正路267號,03-3822939,20L聽裝煤油 (026,是
D235Z,觀音三和站,328桃園市觀音區三和里濱海路武威段2號,03-4737011,20L聽裝煤油 (026,是
D237P,海口站,337桃園市大園區海口里三民路一段158號,03-3935333,20L聽裝煤油 (026,否
D237V,天祥站,   桃園市中壢區五權里民族路三段226號,03-2813170,20L聽裝煤油 (026,是
D237W,大園民生站,   桃園市大園區橫峰里1鄰民生南路163號,03-3856171,20L聽裝煤油 (026,是
D237X,大園國際站,337桃園市大園區圳頭里國際路一段772號,03-3856800,20L聽裝煤油 (026,是
D237Y,廣豐站,326桃園市楊梅區大平里中山南路259號,03-4786145,20L聽裝煤油 (026,是
D2386,中壢服務區站,320桃園市中壢區內定里20鄰內定二街998-6號,03-4622920,20L聽裝煤油 (026,是
D4140,彰化站,500彰化縣彰化市和調里中山路三段27號,04-7222759,20L聽裝煤油 (026,是
D4141,三民路站,402台中市南區福平里三民路一段１號,04-22613854,20L聽裝煤油 (026,是
D4142,大同站,404台中市北區錦平里三民路三段225號,04-22223385,20L聽裝煤油 (026,是
D4143,草屯站,542南投縣草屯鎮玉峰里中正路880號,049-2362049,20L聽裝煤油 (026,是
D4144,豐潭站,427台中市潭子區栗林里中山路三段249號,04-25324634,20L聽裝煤油 (026,否
D4145,大甲站,437台中市大甲區頂店里中山路一段1120號,04-26872314,20L聽裝煤油 (026,是
D4146,梨山站,424台中市和平區梨山里中正路224號,04-25981393,20L聽裝煤油 (026,是
D4147,員林站,510彰化縣員林市三多里中山路二段495號,04-8320294,20L聽裝煤油 (026,是
D4148,二林站,526彰化縣二林鎮豐田里二溪路一段212號,04-8960049,20L聽裝煤油 (026,是
D4149,東勢站,423台中市東勢區粵寧里豐勢路678號,04-25872454,20L聽裝煤油 (026,是
D414A,龍井站,434台中市龍井區竹坑里沙田路四段175號,04-26353010,20L聽裝煤油 (026,是
D414E,埔里中山路站,545南投縣埔里鎮中山路二段141號,049-2982844,20L聽裝煤油 (026,是
D414F,國聖站,500彰化縣彰化市國聖里中山路三段708號,04-7321540,20L聽裝煤油 (026,是
D414G,草屯新豐,542南投縣草屯鎮中正路1615號,049-2333704,20L聽裝煤油 (026,否
D414J,台中港站,436台中市清水區海演里臨港路6段1號,04-26562247,20L聽裝煤油 (026,是
D414K,芬園站,502彰化縣芬園鄉彰南路四段354號,049-2522244,20L聽裝煤油 (026,是
D414L,大肚站,432台中市大肚區新興里沙田路二段222號,04-26992502,20L聽裝煤油 (026,是
D414M,南投三和站,540南投縣南投市三和里中興路549號,049-2227255,20L聽裝煤油 (026,是
D414N,國姓站,544南投縣國姓鄉福龜村中正路一段55號,049-2721240,20L聽裝煤油 (026,是
D414R,霧社站,546南投縣仁愛鄉大同村仁和路14號,049-2802275,20L聽裝煤油 (026,否
D414T,和美站,508彰化縣和美鎮和東里彰美路五段85號,04-7553024,20L聽裝煤油 (026,是
D414U,進化路站,404台中市北區錦洲里進化路656號,04-22323873,20L聽裝煤油 (026,是
D414V,外埔站,438台中市外埔區大同里甲后路三段758號,04-26833350,20L聽裝煤油 (026,是
D414W,鹿谷站,558南投縣鹿谷鄉鹿谷村中正路二段137號,049-2752874,20L聽裝煤油 (026,是
D414X,沙鹿站,433台中市沙鹿區台灣大道7段391號,04-26314644,20L聽裝煤油 (026,是
D414Y,台中工業區加油加氣站,407台中市西屯區福和里臺灣大道四段1047號,04-23592968,20L聽裝煤油 (026,是
D414Z,社頭站,511彰化縣社頭鄉員集路二段583號,04-8732534,20L聽裝煤油 (026,否
D4150,埔里站,545南投縣埔里鎮中山路三段172號,049-2982403,20L聽裝煤油 (026,是
D4151,南門橋站,412台中市大里區西榮里中興路二段691號,04-24826451,20L聽裝煤油 (026,是
D4152,溪湖站,514彰化縣溪湖鎮東寮里彰水路4段93號,04-8852244,20L聽裝煤油 (026,否
D4153,竹山站,557南投縣竹山鎮竹山里集山路三段884號,049-2642304,20L聽裝煤油 (026,是
D4154,清水站,436台中市清水區中山路507-18號,04-26222464,20L聽裝煤油 (026,是
D4155,水里站,553南投縣水里鄉南光村民生路53號,049-2770244,20L聽裝煤油 (026,是
D4156,彰化中山路站,500彰化縣彰化市華北里中山路二段396號,04-7224496,20L聽裝煤油 (026,是
D4157,溪州站,524彰化縣溪州鄉溪州村中山路三段6號,04-8892079,20L聽裝煤油 (026,是
D4159,田中站,520彰化縣田中鎮南路里員集路一段783號,04-8742705,20L聽裝煤油 (026,是
D415A,大安站,439台中市大安區東安里8鄰中山南路193號,04-26712249,20L聽裝煤油 (026,否
D415E,埤頭站,523彰化縣埤頭鄉中和村彰水路一段499號,04-8897844,20L聽裝煤油 (026,是
D415F,卓蘭站,369苗栗縣卓蘭鎮中正西路101號,04-25892174,20L聽裝煤油 (026,否
D415G,田尾站,522彰化縣田尾鄉饒平村中山路一段393號,04-8831042,20L聽裝煤油 (026,是
D415H,大甲日南站,437台中市大甲區經國路1666號,04-26871037,20L聽裝煤油 (026,是
D415J,中寮站,541南投縣中寮鄉永平村永平路349-13號,049-2691730,20L聽裝煤油 (026,是
D415K,芳苑站,528彰化縣芳苑鄉仁愛村斗苑路10號,04-8984558,20L聽裝煤油 (026,是
D415L,太平站,411台中市太平區太平里太平路651號,04-22787508,20L聽裝煤油 (026,否
D415M,青海路站,407台中市西屯區青海路二段211號,04-27015054,20L聽裝煤油 (026,是
D415N,魚池站,555南投縣魚池鄉魚池村魚池街772號,049-2895352,20L聽裝煤油 (026,是
D415R,文心路站,407台中市西屯區文心路三段2號,04-23131239,20L聽裝煤油 (026,否
D415T,集集站,552南投縣集集鎮林尾里民生路317號,049-2763894,20L聽裝煤油 (026,是
D415U,向上路站,403台中市西區向上路一段27號,04-23011800,20L聽裝煤油 (026,是
D415V,大雅中清路站,428台中市大雅區中清路三段951號,04-25664445,20L聽裝煤油 (026,是
D415W,伸港站,509彰化縣伸港鄉新港村新港路95號,04-7983424,20L聽裝煤油 (026,是
D415X,梧棲站,435台中市梧棲區八德路2號,04-26568415,20L聽裝煤油 (026,是
D415Y,信義站,556南投縣信義鄉明德村玉山路116號,049-2791837,20L聽裝煤油 (026,是
D415Z,和平站,424台中市和平區南勢里東關路三段5號,04-25941891,20L聽裝煤油 (026,是
D4160,永靖站,512彰化縣永靖鄉港西村中山路一段637號,04-8221945,20L聽裝煤油 (026,是
D4161,霧峰站,413台中市霧峰區中正路784號,04-23393270,20L聽裝煤油 (026,是
D4162,后里站,421台中市后里區三豐路427號,04-25562174,20L聽裝煤油 (026,是
D4163,花壇站,503彰化縣花壇鄉花壇村中山路一段384號,04-7862064,20L聽裝煤油 (026,是
D4165,北斗站,521彰化縣北斗鎮大道里中山路二段207號,04-8882154,20L聽裝煤油 (026,是
D4166,彰化中華路,500彰化縣彰化市平和里新平路100號,04-7621186,20L聽裝煤油 (026,是
D4167,北屯站,406台中市北屯區北屯路436號,04-22435121,20L聽裝煤油 (026,是
D4168,名間站,551南投縣名間鄉中正村南雅街151號,049-2732629,20L聽裝煤油 (026,是
D4169,南投站,540南投縣南投市三民里彰南路二段71號,049-2222650,20L聽裝煤油 (026,是
D416A,大城站,527彰化縣大城鄉上山村魚寮路50號,04-8944223,20L聽裝煤油 (026,是
D416E,青島路站,406台中市北屯區文心路四段119號,04-22925400,20L聽裝煤油 (026,是
D416F,昌平路站,406台中市北屯區昌平路一段95號,04-22348061,20L聽裝煤油 (026,是
D416G,永和街站,402台中市南區和平里美村南路77號,04-22611600,20L聽裝煤油 (026,是
D416H,二水站,530彰化縣二水鄉裕民村南通路二段680號,04-8790305,20L聽裝煤油 (026,是
D416J,東山路站,406台中市北屯區東山路一段377-5號,04-22392062,20L聽裝煤油 (026,是
D416K,公益路站,408台中市南屯區公益路二段2號,04-23269700,20L聽裝煤油 (026,是
D416L,坪頂站,434台中市龍井區新庄里臺灣大道六段6號,04-26316507,20L聽裝煤油 (026,是
D416M,霧峰林森路站,413台中市霧峰區林森路455號,04-23339411,20L聽裝煤油 (026,否
D416N,埔鹽站,516彰化縣埔鹽鄉好修村員鹿路二段99號,04-8651196,20L聽裝煤油 (026,是
D416R,石岡豐勢路站,422台中市石岡區九房里明德路2號,04-25722984,20L聽裝煤油 (026,是
D416T,員東路站,510彰化縣員林市員東路二段413號,04-8329743,20L聽裝煤油 (026,是
D416U,新社站,426台中市新社區中正里中和街五段58號,04-25819102,20L聽裝煤油 (026,是
D416V,五權西路站,402台中市南屯區五權西路二段566號,04-23893367,20L聽裝煤油 (026,是
D416W,松竹路站,406台中市北屯區松和里松竹路二段４２７號,04-22451915,20L聽裝煤油 (026,是
D416X,太平長億路站,411台中市太平區太平路137號,04-22709613,20L聽裝煤油 (026,是
D416Y,南崗工業區站,540南投縣南投市平山里仁和路13號,049-2251460,20L聽裝煤油 (026,是
D416Z,竹山延平站,557南投縣竹山鎮延平里集山路二段869號,049-2649304,20L聽裝煤油 (026,是
D4170,烏日站,414台中市烏日區九德里中山路一段539號,04-23381514,20L聽裝煤油 (026,是
D4171,復興路站,402台中市南區復興路三段73號,04-22617800,20L聽裝煤油 (026,是
D4172,公園路站,404台中市北區三民路三段50號,04-22237535,20L聽裝煤油 (026,是
D4173,福興站,506彰化縣福興鄉橋頭村彰鹿路七段477號,04-7772534,20L聽裝煤油 (026,是
D4174,日月潭站,555南投縣魚池鄉水社村中山路20號,049-2855160,20L聽裝煤油 (026,是
D4175,豐原大湳站,420台中市豐原區三豐路一段432號,04-25225504,20L聽裝煤油 (026,是
D4176,翁子站,420台中市豐原區豐勢路一段588號,04-25225510,20L聽裝煤油 (026,是
D4177,秀水站,504彰化縣秀水鄉安東村彰水路一段30號,04-7692141,20L聽裝煤油 (026,是
D4178,南投民族街站,540南投縣南投市平和里民族街163號,049-2222741,20L聽裝煤油 (026,否
D4179,振興路站,401台中市東區泉源里建成路556號,04-22134096,20L聽裝煤油 (026,是
D417A,埔心站,513彰化縣埔心鄉瓦北村員鹿路一段421號,04-8293874,20L聽裝煤油 (026,是
D417E,橋頭站,510彰化縣員林市員集路一段46號,04-8721990,20L聽裝煤油 (026,是
D417H,彰化彰興路站,500彰化縣彰化市三村里一鄰彰興路二段81號,047-377187,20L聽裝煤油 (026,是
D417J,員林快速道站,513彰化縣埔心鄉瓦南村中山路281號,04-8398903,20L聽裝煤油 (026,是
D417M,台中工業區南站,   台中市南屯區工業區18路26號之1,04-23595269,20L聽裝煤油 (026,是
D417N,田中二站,   彰化縣田中鎮北路里東閔路二段722號,04-8745633,20L聽裝煤油 (026,是
D417R,烏日高鐵站,414台中市烏日區建國路265號,04-23377492,20L聽裝煤油 (026,是
D417T,南崗三路站,540南投縣南投市南崗三路278-1號,049-2254902,20L聽裝煤油 (026,是
D417U,成功嶺站,414台中市烏日區榮泉路252號,04-23374286,20L聽裝煤油 (026,是
D417V,追分站,432台中市大肚區沙田路一段167號,04-26937955,20L聽裝煤油 (026,是
D4180,豐原交流道站,429台中市神岡區岸裡里中山路88號,04-25228204,20L聽裝煤油 (026,是
D4185,北斗交流道站,   彰化縣埤頭鄉斗苑東路7號,04-8783372,20L聽裝煤油 (026,否
D4240,新竹站,   新竹市東區中華路二段347號,03-5225043,20L聽裝煤油 (026,是
D4241,橫山站,312新竹縣橫山鄉大肚村中豐路二段96號,03-5932902,20L聽裝煤油 (026,是
D4242,竹東站,310新竹縣竹東鎮東寧路一段2號,03-5962447,20L聽裝煤油 (026,是
D4243,科學園區站,   新竹市東區龍山里工業東二路2-2號,03-5779157,20L聽裝煤油 (026,是
D4244,民華站,   新竹市東區中華路二段156-1號,03-5326491,20L聽裝煤油 (026,否
D4245,寶山站,308新竹縣寶山鄉雙新村寶新路1段65號,03-5204346,20L聽裝煤油 (026,是
D4246,關西站,306新竹縣關西鎮中豐路二段50號,03-5872134,20L聽裝煤油 (026,是
D4247,府前站,302新竹縣竹北市縣政二路112號,03-5556350,20L聽裝煤油 (026,否
D4248,竹北站,302新竹縣竹北市中華路439號,03-5552154,20L聽裝煤油 (026,否
D4249,湖口站,303新竹縣湖口鄉湖鏡村中正路三段346號,03-5690155,20L聽裝煤油 (026,是
D4250,尖石站,313新竹縣尖石鄉嘉樂村麥樹仁2鄰66號,03-5842322,20L聽裝煤油 (026,否
D4251,光復站,   新竹市東區光復路二段716號,035-718604,20L聽裝煤油 (026,是
D4252,新埔站,305新竹縣新埔鎮中正路902號,03-5882174,20L聽裝煤油 (026,否
D4253,香山站,300新竹市香山區中華路五段54號,03-5383201,20L聽裝煤油 (026,是
D4254,新湖口站,303新竹縣湖口鄉中正路二段20號,03-5991267,20L聽裝煤油 (026,否
D4255,關東橋站,300新竹市東區光復路一段529號,035-772433,20L聽裝煤油 (026,否
D4256,新豐站,303新竹縣湖口鄉鳳山村新興路330號,03-5592308,20L聽裝煤油 (026,否
D4257,光明站,   新竹市東區光復路二段1號,03-5716471,20L聽裝煤油 (026,是
D4258,東林路站,310新竹縣竹東鎮東林路105號,03-5957003,20L聽裝煤油 (026,否
D4259,峨眉站,315新竹縣峨眉鄉峨眉村3-1號,03-5800564,20L聽裝煤油 (026,否
D4260,新庄子站,304新竹縣新豐鄉重興村新庄路429號,03-5593274,20L聽裝煤油 (026,是
D4261,芎林站,307新竹縣芎林鄉上山村文山路554號,03-5923740,20L聽裝煤油 (026,是
D4262,北大路站,   新竹市東區北大路374號,03-5227664,20L聽裝煤油 (026,否
D4265,北埔站,314新竹縣北埔鄉水?村麻布樹排20號,03-5802547,20L聽裝煤油 (026,否
D4266,南寮站,300新竹市北區東大路四段292號,03-5363424,20L聽裝煤油 (026,是
D426A,獅潭站,354苗栗縣獅潭鄉新店村新店9-1號,037-931276,20L聽裝煤油 (026,是
D426C,通利站,   苗栗縣通霄鎮平安里18鄰環市路二段1032號,037-764736,20L聽裝煤油 (026,是
D426E,後龍站,356苗栗縣後龍鎮中華路51-2號,037-722041,20L聽裝煤油 (026,是
D426F,北苗站,360苗栗縣苗栗市為公路110號,037-262439,20L聽裝煤油 (026,是
D426G,中苗站,360苗栗縣苗栗市中正路442號,037-326764,20L聽裝煤油 (026,是
D426H,中華路站,360苗栗縣苗栗市中華路30號,037-266431,20L聽裝煤油 (026,是
D426J,西湖站,368苗栗縣西湖鄉湖東村埔頂9-3號,037-921048,20L聽裝煤油 (026,是
D426K,公館站,363苗栗縣公館鄉玉泉村玉泉24-4號,037-222834,20L聽裝煤油 (026,是
D426L,銅鑼站,366苗栗縣銅鑼鄉銅鑼村中正路151號,037-981124,20L聽裝煤油 (026,否
D426M,通霄站,357苗栗縣通霄鎮中山路297號,037-752075,20L聽裝煤油 (026,是
D426N,山腳站,358苗栗縣苑裡鎮舊社里158號,037-745074,20L聽裝煤油 (026,是
D426P,自強路站,351苗栗縣頭份市東庄里六鄰自強路二段170號,037-615343,20L聽裝煤油 (026,否
D426R,苑裡站,358苗栗縣苑裡鎮中山路19號,037-866747,20L聽裝煤油 (026,是
D426T,三義站,367苗栗縣三義鄉廣盛村中正路146號,037-872204,20L聽裝煤油 (026,是
D426U,大湖站,364苗栗縣大湖鄉富興村2-1號,037-991072,20L聽裝煤油 (026,是
D426V,南平路站,351苗栗縣頭份市蘆竹路270號,037-612746,20L聽裝煤油 (026,是
D426W,頭份站,351苗栗縣頭份市自強路2號,037-663242,20L聽裝煤油 (026,是
D426X,蘆竹站,351苗栗縣頭份市中華路444號,037-623740,20L聽裝煤油 (026,是
D426Y,頭份工業區站,351苗栗縣頭份市蘆竹里中華路519號,037-626224,20L聽裝煤油 (026,是
D426Z,中正路站,350苗栗縣竹南鎮中正路120號,037-463428,20L聽裝煤油 (026,是
