日期,公告內容
103/04/14,林園廠新三輕組輕油裂解程序(M33) 開爐試車，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.14~15廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/04/15,林園廠新三輕組輕油裂解程序(M33) 開爐試車，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.15~16廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/04/16,林園廠新三輕組輕油裂解程序(M33) 開爐試車，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.16~17廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間) 
103/04/19,林園廠新三輕組輕油裂解程序(M33) 開爐試車，四輕組輕油裂解程序(M04) 操作正常，廢氣燃燒塔103.4.19~20廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/07/14,中油林園廠四輕組輕油裂解程序(M04)開爐，新三輕組輕油裂解程序(M33)因表面冷凝器液位過高，造成壓縮機C-1201跳車，廢氣燃燒塔103.7.14廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/07/15,中油林園廠四輕組輕油裂解程序(M04)開爐，新三輕組輕油裂解程序(M33)操作正常，廢氣燃燒塔103.7.15廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/07/23,中油林園廠四輕組因丁二烯工場(M20)C-5101壓縮機電驛故障跳車，廢氣經輕油裂解程序(M04)所屬廢氣燃燒塔排放，新三輕組輕油裂解程序(M33)操作正常，廢氣燃燒塔103.7.23廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/07/27,中油林園廠四輕組因丁二烯工場(M20)開爐，廢氣經輕油裂解程序(M04)所屬廢氣燃燒塔排放，新三輕組輕油裂解程序(M33)操作正常，廢氣燃燒塔103.7.27廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/09/12,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因R1430a反應器再生還原，廢氣排至北區廢氣燃燒塔，103.9.12~103.9.13廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/09/21,因鳳凰颱風襲臺，中油林園廠四輕組輕油裂解程序(M04)C-7202廢氣回收壓縮機暫停回收；新三輕組輕油裂解程序(M33)C-8201廢氣回收壓縮機暫停回收，廢氣排至南區與北區廢氣燃燒塔，103.9.21廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)。
103/09/30,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因R1360a乙炔轉化反應器再生還原，氫氣排至北區廢氣燃燒塔，103.9.30~103.10.2廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/10/19,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因滑油壓力控制器輸出異常，造成C-1201壓縮機跳車，製程氣體排至北區廢氣燃燒塔，103.10.19廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/10/22,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因C-1301甲烷壓縮機檢修，製程氣體排至北區廢氣燃燒塔，103.10.22廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
103/12/01,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因R-1360B乙炔轉化器再生，大量氫氣排至北區廢氣燃燒塔，103.12.1~103.12.2廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/03/19,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因R-1360B乙炔轉化器改座操作，104.03.19廢氣燃燒塔排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/04/01,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因裂解爐設備故障跳?，製程氣體排至北區廢氣燃燒塔處理，104.03.31廢氣燃燒塔排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/04/20,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因R-1360A乙炔轉化器氫化再生，大量氫氣排至北區廢氣燃燒塔處理，104.04.17~104.04.18廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/04/28,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)進行丙烯冷凍壓縮機C-1501替代檢查連鎖測試，造成壓縮機控制油壓變化大，瞬間低壓力觸及連鎖引發C-1501跳車，製程系統因冷媒不足壓力高，大量製程氣排至北區廢氣燃燒塔處理，104.04.27廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/05/25,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因透平機泵浦P-1171A跳脫，導至裂解氣體壓縮機C-1201跳車，為安全因素考量，大量製程氣排至北區廢氣燃燒塔處理，104.05.25廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/08/10,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因蘇迪勒颱風來襲，為避免母火熄滅，北區廢氣燃燒塔廢氣回收壓縮機降載，104.08.08廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/09/18,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因R-1360B 乙炔反應器再生吹驅，大量氫氣排至北區廢氣燃燒塔處理104.09.17~18廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/11/23,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因台電無預警供電異常，造成裂解爐F1107、裂解爐F1108及壓縮機C-1501跳俥，大量製程氣體排至北區廢氣燃燒塔處理104.11.21廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/12/10,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因低溫工場乙烯製程異常，造成部分製程氣體排至北區廢氣燃燒塔處理104.12.09廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
104/12/11,中油林園廠四輕組輕油裂解程序(M04)大修，新三輕組輕油裂解程序(M33)操作正常，造成部分製程氣體排至南區廢氣燃燒塔處理104.12.10廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)。
104/12/14,中油林園廠四輕組輕油裂解程序(M04)大修，新三輕組輕油裂解程序(M33)操作正常，造成部分製程氣體排至南區廢氣燃燒塔處理104.12.11~104.12.14廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)。
104/12/17,中油林園廠四輕組輕油裂解程序(M04)大修，部分製程氣體排至南區廢氣燃燒塔處理；新三輕組輕油裂解程序(M33)所屬北區廢氣燃燒塔因公用組LNG燃料氣系統控制閥故障，燃料氣排至該廢氣燃燒塔處理，造成104.12.15~104.12.17廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)。
105/01/28,中油林園廠四輕組輕油裂解程序(M04)開爐前吹驅，新三輕組輕油裂解程序(M33)因製程異常調整，製程氣體排至北區廢氣燃燒塔處理105.01.26~27廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/01/29,中油林園廠四輕組輕油裂解程序(M04)開爐前吹驅，新三輕組輕油裂解程序(M33)因製程異常調整，製程氣體排至北區廢氣燃燒塔處理105.01.26~27廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/01/29,中油林園廠四輕組輕油裂解程序(M04)開爐前吹驅，新三輕組輕油裂解程序(M33)因製程異常調整，製程氣體排至北區廢氣燃燒塔處理105.01.28~29廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/01/30,中油林園廠四輕組輕油裂解程序(M04)開爐前吹驅，製程氣體排至南區廢氣燃燒塔處理，105.01.30廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)。
105/02/01,中油林園廠四輕組輕油裂解程序(M04)開爐吹驅，新三輕組輕油裂解程序(M33)因冷箱設備故障擬短暫停爐處理，製程氣體排至北區廢氣燃燒塔處理105.01.31~02.01廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/02/03,中油林園廠四輕組輕油裂解程序(M04)開爐吹驅，新三輕組輕油裂解程序(M33)因冷箱設備故障短暫停爐處理，製程氣體排至北區廢氣燃燒塔處理105.02.02~02.03廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/02/05,中油林園廠四輕組輕油裂解程序(M04)開爐，新三輕組輕油裂解程序(M33)因冷箱設備故障短暫停爐處理，製程氣體排至廢氣燃燒塔處理105.02.04~02.05廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/02/23,中油林園廠新三輕組輕油裂解程序(M33)操作正常，四輕組輕油裂解程序(M04)因C-7202廢氣回收壓縮機故障，改台操作回收較低，部分製程氣體排至廢氣燃燒塔處理105.02.21廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/02/24,中油林園廠新三輕組輕油裂解程序(M33)操作正常，四輕組輕油裂解程序(M04)因C-1201裂解氣體壓縮機跳車，製程氣體排至廢氣燃燒塔處理105.02.23~105.02.24廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/05/17,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)因C-1201裂解氣壓縮機蒸汽進口高壓閥開度與實際值差異大，啟動連鎖系統保護壓縮機，製程氣體排至北區廢氣燃燒塔處理105.05.15廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/09/26,中油林園廠新三輕組輕油裂解程序(M33)操作正常，四輕組輕油裂解程序(M04)因調速器高壓閥開度異常導致C-1201裂解氣壓縮機跳車，製程氣體排至南區廢氣燃燒塔處理105.09.25廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/10/07,中油林園廠新三輕組輕油裂解程序(M33)操作正常，四輕組輕油裂解程序(M04)因小修停爐，製程氣體排至南區廢氣燃燒塔處理105.10.06廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
105/10/14,中油林園廠新三輕組輕油裂解程序(M33)操作正常，四輕組輕油裂解程序(M04)因小修開爐，製程氣體排至南區廢氣燃燒塔處理105.10.14廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並適時啟動廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
106/02/17,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)停爐大修吹驅製程設備，製程氣體排至北區廢氣燃燒塔處理106.02.15~17廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並調整廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
106/02/18,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)停爐大修吹驅製程設備，製程氣體排至北區廢氣燃燒塔處理106.02.18廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並調整廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
106/02/20,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)停爐大修吹驅製程設備，製程氣體排至北區廢氣燃燒塔處理106.02.19廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並調整廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
106/02/20,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)停爐大修吹驅製程設備，製程氣體排至北區廢氣燃燒塔處理106.02.20廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並調整廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
106/02/21,中油林園廠四輕組輕油裂解程序(M04)操作正常，新三輕組輕油裂解程序(M33)停爐大修吹驅製程設備，製程氣體排至北區廢氣燃燒塔處理106.02.21廢氣排放量累積超過30KS，廢氣燃燒塔使用時會產生間歇性火光，本廠將持續控管廢氣燃燒塔流量，並調整廢氣回收裝置以減少排放量，本事業部聯絡電話：07-6413701#8612(上班時間)#8405(非上班時間)
