站代號,站名,地址,電話,提供服務時段
D516W,楠梓加工區站,811 高雄市楠梓區經五路125號(備註：週日及國定假日歇業),07-3630096,07:30-18:00
D5170,楓港站,941 屏東縣枋山鄉楓港村舊庄路53號,08-8771141,06:30-22:00
D5173,復興路站,900 屏東縣屏東市復興路261號,08-7525421,00:00-24:00
D5174,青年路站,802 高雄市苓雅區民權一路105號,07-3352549,07:00-23:00
D5175,新埤站,925 屏東縣新埤鄉新埤村新中路74號,08-7971017,00:00-24:00
D517M,南州交流道站,926 屏東縣南州鄉壽元村大同路107號,08-8644993,00:00-24:00
D6141,中華路站,970 花蓮縣花蓮市中華路333號,03-8323424,07:00-22:00
D6146,南埔站,973 花蓮縣吉安鄉仁和村中正路二段6號,03-8522853,00:00-24:00
D6151,中山路站,970 花蓮縣花蓮市中山路752號,03-8561117,00:00-24:00
D6153,和平站,972 花蓮縣秀林鄉和平村和平路32-1號,03-8681261,07:00-21:00
D6160,羅東站,268 宜蘭縣五結鄉中正路二段94號,03-9654651,00:00-24:00
D6161,宜蘭站,260 宜蘭縣宜蘭市中山路五段139號,039-282621,00:00-24:00
D6162,蘇澳站,270 宜蘭縣蘇澳鎮中山路一段196號,03-9963524,07:00-22:00
D6163,中正南路站,265 宜蘭縣羅東鎮中正南路9號,039-543031,07:00-22:00
D6164,礁溪站,262 宜蘭縣礁溪鄉礁溪路六段28號,039-882170,07:00-22:00
D6165,員山站,264 宜蘭縣員山鄉員山路一段31號,039-223041,00:00-24:00
D6166,頭城站,261 宜蘭縣頭城鎮開蘭路300號,03-9771644,07:00-22:00
D6168,壯圍站,263 宜蘭縣壯圍鄉吉祥村壯五路391號,039-381161,07:00-22:00
D6169,馬賽站,270 宜蘭縣蘇澳鎮蘇濱路二段459號,03-9905422,07:00-22:00
D616D,冬山站,269 宜蘭縣冬山鄉冬山路二段260號,039-591316,00:00-24:00
D616F,大同站,267 宜蘭縣大同鄉崙埤村泰雅路1段92號,039-801181,08:00-18:00
D616G,北關站,261 宜蘭縣頭城鎮濱海路三段326號,039-776128,08:00-17:00
