站代號,站名,地址,電話,提供服務時段
D2158,泰山站,243 新北市泰山區泰林路二段424號,02-29097921,07:00-22:00
D215E,林口站,244 新北市林口區中山路１號,02-26015017,00:00-24:00
D215H,板橋民族路站,220 新北市板橋區民族路90號,02-29536247,00:00-24:00
D215J,南港站,115 台北市南港區南港路二段50號,02-27822408,00:00-24:00
D215K,蘆洲站,新北市蘆洲區三民路99號,02-22812333,00:00-24:00
D215L,環河南路站,108 台北市萬華區環河南路二段274之2及177之1,02-23040528,00:00-24:00
D215N,鶯歌站,239 新北市鶯歌區文化路152號,02-26792944,00:00-24:00
D215R,新店北新路站,231 新北市新店區北新路一段90號,02-29180305,00:00-24:00
D215T,莒光路站,100 台北市中正區莒光路2號,02-23028385,00:00-24:00
D215V,泰新加油加氣站,243 新北市泰山區新北大道五段1號,02-29094220,00:00-24:00
D215W,東湖站,114 台北市內湖區康寧路三段225號,02-26311524,07:00-22:00
D215Y,鶯桃路站,239 新北市鶯歌區建國路608號,02-26792083,07:00-21:00
D2160,樹林站,新北市樹林區樹新路207號,02-26812405,00:00-24:00
D2161,二重站,241 新北市三重區重新路五段652號,02-29950790,07:00-22:00
D2162,桂林路站,108 台北市萬華區桂林路53號,02-23819053,07:00-22:00
D2163,信義路站,106 台北市大安區信義路四段374號,02-27081235,00:00-24:00
D2164,汀州路站,100 台北市中正區汀州路三段１號,02-23655595,00:00-24:00
D2165,民生東路站,105 台北市松山區三民路126號,02-27671664,00:00-24:00
D2167,松山路站,110 台北市信義區松山路480號,02-27297328,00:00-24:00
D2168,文林路站,111 台北市士林區文林路100號,02-28817934,00:00-24:00
D2169,富陽街站,106 台北市大安區富陽街129號,02-27324229,00:00-24:00
D216A,吉林路站,104 台北市中山區吉林路31號,02-25417952,07:00-22:00
D216F,永和永利路站,234 新北市永和區永利路69號,02-29212541,00:00-24:00
D216H,蘆洲中山二路站,新北市蘆洲區中山二路309號,02-22859867,00:00-24:00
D216J,大埔站,237 新北市三峽區中正路二段165號,02-26710050,07:00-23:00
D216K,五股工業區站,242 新北市新莊區五工路99-3號(周日營業時間:09~18),02-22980057,07:00-22:00
D216L,大直站,104 台北市中山區明水路661號,02-25320154,00:00-24:00
D216R,埔墘站,220 新北市板橋區中山路二段320號,02-29553436,00:00-24:00
D216U,內湖麗山街站,114 台北市內湖區內湖路一段362號,02-26577339,00:00-24:00
D2172,新生北路站,104 台北市中山區新生北路二段71號,02-25815206,00:00-24:00
D2173,土城廣福路站,236 新北市土城區四川路１號,02-89672580,00:00-24:00
D2174,土城站,236 新北市土城區中央路二段280號,02-22602808,00:00-24:00
D2176,光復北路站,105 台北市松山區光復北路13號,02-27674900,00:00-24:00
D2178,林森北路站,104 台北市中山區林森北路11號,02-23410686,00:00-24:00
D2179,積穗站,235 新北市中和區中山路二段550號,02-22219719,00:00-24:00
D217F,新店中正路站,新北市新店區中正路470號,02-22192678,00:00-24:00
D217K,濱江大直橋加油加氣站,105 台北市松山區濱江街373號,02-25177975,00:00-24:00
D234H,龜山站,333 桃園市龜山區萬壽路二段640號,03-3296223,00:00-24:00
D234M,蘆竹站,338 桃園市蘆竹區錦興里中正路342號,03-3224714,00:00-24:00
D234N,三民路站,330 桃園市桃園區三民路一段150號,03-3348425,00:00-24:00
D234T,桃園機場第三站,337 桃園市大園區埔心里航勤南路2號,03-3834374,07:00-22:00
D234W,大竹站,338 桃園市蘆竹區大竹里大竹路503號,03-3232425,07:00-22:00
D234X,春日路站,330 桃園市桃園區春日路971號,03-3550381,00:00-24:00
D235C,梅溪加油加氣站,326 桃園市楊梅區中山北路一段391號,03-4782632,00:00-24:00
D235D,新富站,桃園市平鎮區新富里中豐路一段298號,03-4573401,00:00-24:00
D235G,新屋站,327 桃園市新屋區中山路85號,03-4772644,07:00-22:00
D235H,觀音站,328 桃園市觀音區廣興里中山路一段166號,03-4735944,07:00-21:00
D235J,龍潭站,325 桃園市龍潭區北龍路264號,03-4792614,00:00-24:00
D235Q,中壢工業區加油加氣站,320 桃園市中壢區中華路二段230號,03-4521948,00:00-24:00
D235R,中壢工二站,320 桃園市中壢區吉林路37巷15號,03-4620443,00:00-24:00
D235T,中壢站,320 桃園市中壢區延平路33號,03-4522044,07:00-22:00
D235U,龍岡站,320 桃園市中壢區環中東路二段659號,03-4592501,00:00-24:00
D237W,大園民生站,桃園市大園區橫峰里1鄰民生南路163號,03-3856171,00:00-24:00
D237Y,廣豐站,326 桃園市楊梅區大平里中山南路259號,03-4786145,07:00-21:00
D4140,彰化站,500 彰化縣彰化市和調里中山路三段27號,04-7222759,00:00-24:00
D4141,三民路站,402 台中市南區福平里三民路一段１號,04-22613854,07:00-18:00
D4142,大同站,404 台中市北區錦平里三民路三段225號,04-22223385,07:00-22:00
D4148,二林站,526 彰化縣二林鎮豐田里二溪路一段212號,04-8960049,00:00-24:00
D414E,埔里中山路站,545 南投縣埔里鎮中山路二段141號,049-2982844,07:00-22:00
D414M,南投三和站,540 南投縣南投市三和里中興路549號,049-2227255,00:00-24:00
D414N,國姓站,544 南投縣國姓鄉福龜村中正路一段55號,049-2721240,07:00-22:00
D414T,和美站,508 彰化縣和美鎮和東里彰美路五段85號,04-7553024,00:00-24:00
D414Y,台中工業區加油加氣站,407 台中市西屯區福和里臺灣大道四段1047號,04-23592968,00:00-24:00
D4154,清水站,436 台中市清水區中山路507-18號,04-26222464,00:00-24:00
D4156,彰化中山路站,500 彰化縣彰化市華北里中山路二段396號,04-7224496,00:00-24:00
D415F,卓蘭站,369 苗栗縣卓蘭鎮中正西路101號,04-25892174,07:00-22:00
D415H,大甲日南站,437 台中市大甲區經國路1666號,04-26871037,07:00-21:00
D415M,青海路站,407 台中市西屯區青海路二段211號,04-27015054,00:00-24:00
D415R,文心路站,407 台中市西屯區文心路三段2號,04-23131239,00:00-24:00
D415V,大雅中清路站,428 台中市大雅區中清路三段951號,04-25664445,00:00-24:00
D415W,伸港站,509 彰化縣伸港鄉新港村新港路95號,04-7983424,07:00-22:00
D4162,后里站,421 台中市后里區三豐路427號,04-25562174,00:00-24:00
D4167,北屯站,406 台中市北屯區北屯路436號,04-22435121,07:00-22:00
D416F,昌平路站,406 台中市北屯區昌平路一段95號,04-22348061,07:00-22:00
D416J,東山路站,406 台中市北屯區東山路一段377-5號,04-22392062,07:00-22:00
D416K,公益路站,408 台中市南屯區公益路二段2號,04-23269700,00:00-24:00
D416M,霧峰林森路站,413 台中市霧峰區林森路455號,04-23339411,00:00-24:00
D416R,石岡豐勢路站,422 台中市石岡區九房里明德路2號,04-25722984,00:00-24:00
D416T,員東路站,510 彰化縣員林市員東路二段413號,04-8329743,00:00-24:00
D416V,五權西路站,402 台中市南屯區五權西路二段566號,04-23893367,00:00-24:00
D416W,松竹路站,406 台中市北屯區松和里松竹路二段４２７號,04-22451915,00:00-24:00
D416Y,南崗工業區站,540 南投縣南投市平山里仁和路13號,049-2251460,00:00-24:00
D4173,福興站,506 彰化縣福興鄉橋頭村彰鹿路七段477號,04-7772534,00:00-24:00
D4176,翁子站,420 台中市豐原區豐勢路一段588號,04-25225510,00:00-24:00
D417A,埔心站,513 彰化縣埔心鄉瓦北村員鹿路一段421號,04-8293874,00:00-24:00
D417R,烏日高鐵站,414 台中市烏日區建國路265號,04-23377492,07:00-21:00
D4184,清水服務區站,台中市清水區吳厝里吳厝二街81號,04-26203281,00:00-24:00
D4187,南投服務區站,540 南投縣南投市南鄉路250巷142弄8號,049-2204987,00:00-24:00
D4241,橫山站,312 新竹縣橫山鄉大肚村中豐路二段96號,03-5932902,07:00-21:00
D4242,竹東站,310 新竹縣竹東鎮東寧路一段2號,03-5962447,00:00-24:00
D4243,科學園區站,新竹市東區龍山里工業東二路2-2號,03-5779157,00:00-24:00
D4246,關西站,306 新竹縣關西鎮中豐路二段50號,03-5872134,07:00-21:00
D4247,府前站,302 新竹縣竹北市縣政二路112號,03-5556350,00:00-24:00
D4248,竹北站,302 新竹縣竹北市中華路439號,03-5552154,07:00-22:00
D4253,香山站,300 新竹市香山區中華路五段54號,03-5383201,07:00-21:00
D4256,新豐站,303 新竹縣湖口鄉鳳山村新興路330號,03-5592308,00:00-24:00
D4257,光明站,新竹市東區光復路二段1號,03-5716471,00:00-24:00
D4258,東林路站,310 新竹縣竹東鎮東林路105號,03-5957003,00:00-24:00
D4260,新庄子站,304 新竹縣新豐鄉重興村新庄路429號,03-5593274,07:00-21:00
D4262,北大路站,新竹市東區北大路374號,03-5227664,00:00-24:00
D426E,後龍站,356 苗栗縣後龍鎮中華路51-2號,037-722041,06:30-22:30
D426F,北苗站,360 苗栗縣苗栗市為公路110號,037-262439,07:00-21:00
D426G,中苗站,360 苗栗縣苗栗市中正路442號,037-326764,00:00-24:00
D426M,通霄站,357 苗栗縣通霄鎮中山路297號,037-752075,07:00-21:00
D426N,山腳站,358 苗栗縣苑裡鎮舊社里158號,037-745074,07:00-21:00
D426P,自強路站,351 苗栗縣頭份市東庄里六鄰自強路二段170號,037-615343,07:00-21:00
D426R,苑裡站,358 苗栗縣苑裡鎮中山路19號,037-866747,00:00-24:00
D426V,南平路站,351 苗栗縣頭份市蘆竹路270號,037-612746,07:00-21:00
D426W,頭份站,351 苗栗縣頭份市自強路2號,037-663242,00:00-24:00
D426X,蘆竹站,351 苗栗縣頭份市中華路444號,037-623740,07:00-21:00
D426Y,頭份工業區站,351 苗栗縣頭份市蘆竹里中華路519號,037-626224,07:00-21:00
D426Z,中正路站,350 苗栗縣竹南鎮中正路120號,037-463428,00:00-24:00
D427A,竹南站,350 苗栗縣竹南鎮東平路101號,037-624865,07:00-21:00
D4343,信義路站,600 嘉義市西區博愛路二段519號,05-2359381,00:00-24:00
D4345,虎尾站,632 雲林縣虎尾鎮平和里光復路131號,05-6322524,07:00-21:00
D4346,吳鳳路站,嘉義市東區吳鳳南路92號,05-2224070,00:00-24:00
D434A,梅山站,603 嘉義縣梅山鄉梅北村中山路746號,05-2622821,07:00-21:00
D434H,布袋站,625 嘉義縣布袋鎮興中里上海路1號,05-3471410,07:00-21:00
D434J,二崙自強站,649 雲林縣二崙鄉大同村大同路21號,05-5984084,07:00-21:00
D434K,朴子山通路站,613 嘉義縣朴子市大鄉里大?榔625號,05-3799580,07:00-21:00
D4350,大林站,622 嘉義縣大林鎮中正路260號,05-2652049,07:00-21:00
D4353,民雄站,621 嘉義縣民雄鄉建國路二段329號,05-2262145,07:00-21:00
D4354,柳營站,736 台南市柳營區柳營路三段300號,06-6222041,07:00-21:00
D4357,崙背站,637 雲林縣崙背鄉南陽村正義路123號,05-6962049,07:00-21:00
D4358,後壁站,731 台南市後壁區後壁里42號,06-6871004,07:00-21:00
D4359,南靖站,608 嘉義縣水上鄉三鎮路101-1號,05-2682029,07:00-21:00
D435A,水林站,652 雲林縣水林鄉水北村顏厝寮97號,05-7854194,07:00-21:00
D435H,番路站,602 嘉義縣番路鄉下坑村下坑40-2號,05-2592386,07:00-21:00
D435J,義和站,647 雲林縣莿桐鄉義和村三和37-5號,05-5844090,00:00-24:00
D435L,北港新德路站,651 雲林縣北港鎮新街里新德路27號,05-7824045,07:00-21:00
D4360,新港站,616 嘉義縣新港鄉菜公村菜公厝64-1號,05-3742054,00:00-24:00
D4365,二崙站,649 雲林縣二崙鄉崙東村中山路一段102號,05-5982056,07:00-21:00
D4370,麥寮站,638 雲林縣麥寮鄉麥豐村中山路12號,05-6932174,07:00-21:00
D4397,嘉保站,嘉義縣太保市安仁里嘉朴東路1段116號,05-3623558,07:00-21:00
D43W2,雅虎站,雲林縣斗六市虎溪里西平路776號,05-5514796,00:00-24:00
D43W5,嘉義高鐵南站,600 嘉義市西區大溪里高鐵大道925號,05-2382079,07:00-21:00
D43X7,古坑服務區站,646 雲林縣古坑鄉崁腳村新興100號,05-5827210,00:00-24:00
D504I,公園路站,704 台南市北區公園路721號,06-2517454,00:00-24:00
D504Q,隆田站,720 台南市官田區隆本里中華路二段23號,06-5791257,07:00-21:00
D505P,府前路站,700 台南市中西區府前路二段256號,06-2971568,07:00-21:00
D505Z,佳里仁愛路站,722 台南市佳里區仁愛路67號,06-7229504,07:00-21:00
D506C,安中路站,709 台南市安南區安中路四段446號,06-2569825,07:00-21:00
D506M,永華路東,708 台南市安平區永華路二段216號,06-2992048,00:00-24:00
D506N,中華西路南站,700 台南市中西區中華西路二段2號,06-2970350,00:00-24:00
D506P,善化站,741 台南市善化區中山路368號,06-5817264,07:00-21:00
D506R,文賢路站,700 台南市中西區文賢路229號,06-2591749,00:00-24:00
D506T,東門路站,701 台南市東區東門路二段39號,06-2371994,07:00-22:00
D507D,中油南科站,744 台南市新市區南科二路3號,06-5051229,07:00-21:00
D507H,成功路站,704 台南市北區成功路16號,06-2222894,00:00-24:00
D507L,六甲站,734 台南市六甲區水林里中山路446號,06-6982404,07:00-21:00
D507N,大同路站,702 台南市南區大同路二段380號,06-2153503,00:00-24:00
D507T,歸仁站,711 台南市歸仁區中山路三段201號,06-2301003,07:00-22:00
D509B,育平路站,708 台南市安平區育平路80號,06-2933845,07:00-21:00
D50W9,安平古堡站,700 台南市中西區西賢里31鄰民權路四段730號,06-3587703,07:00-21:00
D5141,中正四路站,801 高雄市前金區中正四路251號,07-2212453,07:00-23:00
D5145,岡山站,820 高雄市岡山區岡山南路45號,07-6252450,00:00-24:00
D5146,後勁站,811 高雄市楠梓區後昌路200號,07-3613018,00:00-24:00
D514A,中正二路站,800 高雄市新興區中正二路166號,07-2241235,07:00-23:00
D514J,中華三路站,801 高雄市前金區中華三路136號,07-2851354,00:00-24:00
D514K,建工路站,807 高雄市三民區建工路566號,07-3832928,00:00-24:00
D514V,萬巒站,923 屏東縣萬巒鄉萬巒村中正路5-2號,08-7811648,07:00-21:00
D514Y,大寮站,831 高雄市大寮區永芳里鳳林三路616號,07-7813631,06:30-22:30
D514Z,鳳松站,830 高雄市鳳山區武松里鳳松路178-5號,07-7431562,00:00-24:00
D5152,潮州站,NULL,08-7882044,00:00-24:00
D5154,成功一路站,801 高雄市前金區成功一路384號,07-2218734,07:00-23:00
D5157,東港站,928 屏東縣東港鎮興東里中正路一段85號,08-8322352,00:00-24:00
D515F,燕巢站,824 高雄市燕巢區南燕里中興路199號,07-6161704,07:00-21:00
D515L,梓官站,826 高雄市梓官區梓和里和平路317號,07-6173555,00:00-24:00
D515Y,民權路站,806 高雄市前鎮區一心一路291號,07-3316290,00:00-24:00
D5164,橋頭站,825 高雄市橋頭區橋頭里成功北路15號,07-6113644,07:00-22:00
D5165,高鳳站,802 高雄市苓雅區建國一路3號,07-7491901,00:00-24:00
D5166,中正三路站,800 高雄市新興區中正三路9號,07-2261045,07:00-23:00
D5168,中山二路站,801 高雄市前金區中山二路569號,07-2317441,07:00-23:00
D5169,大義街站,803 高雄市鹽埕區大義街56-1號,07-5518163,07:00-23:00
D516A,漁港路站,806 高雄市前鎮區漁港路2號,07-8216516,00:00-24:00
D516E,麟洛站,909 屏東縣麟洛鄉麟蹄村中山路64號,08-7233148,07:00-22:00
D516F,覺民路站,807 高雄市三民區覺民路362號,07-3869992,00:00-24:00
D516K,鼎山路站,807 高雄市三民區鼎山街373號,07-3839681,00:00-24:00
D516L,墾丁站,946 屏東縣恆春鎮墾丁里墾丁路402號,08-8861408,07:00-21:00
D516N,右昌軍校路站,811 高雄市楠梓區軍校路737號,07-3637331,06:30-22:00
D516T,和生路站,900 屏東縣屏東市橋南里和生路一段560號,08-7536740,07:00-21:00
D516U,九如東寧站,904 屏東縣九如鄉東寧村九如路一段16號,08-7390078,06:00-22:00
D516V,南鼓山站,804 高雄市鼓山區捷興二街46號,07-5517556,07:00-22:00
D5171,建國一路站,802 高雄市苓雅區建國一路142號,07-7518715,24小時
D5176,仁武站,814 高雄市仁武區鳳仁路282號,07-3711361,00:00-24:00
D517L,左楠加油加氣站,811 高雄市楠梓區高雄市楠梓區左楠路2-1號,07-5888562,07:00-22:00
D517N,大林站,812 高雄市小港區鳳華路1號,07-8714612,07:00-21:00
D6140,港口站,970 花蓮縣花蓮市吉林路2號,03-8228640,07:00-21:00
D6141,中華路站,970 花蓮縣花蓮市中華路333號,03-8323424,07:00-22:00
D6142,玉里站,981 花蓮縣玉里鎮大同路219號,03-8882307,07:00-21:00
D6143,太魯閣站,972 花蓮縣秀林鄉富世村154-1號,03-8611009,07:00-19:00
D6146,南埔站,973 花蓮縣吉安鄉仁和村中正路二段6號,03-8522853,00:00-24:00
D6149,壽豐站,974 花蓮縣壽豐鄉壽豐路一段1號,03-8655891,07:00-21:00
D6150,北埔站,971 花蓮縣新城鄉北埔村北埔路368號,03-8266825,00:00-24:00
D6151,中山路站,970 花蓮縣花蓮市中山路752號,03-8561117,00:00-24:00
D6153,和平站,972 花蓮縣秀林鄉和平村和平路32-1號,03-8681261,07:00-21:00
D6155,馬太鞍站,976 花蓮縣光復鄉林森路300號,03-8700125,07:00-21:00
D615B,巨豐站,973 花蓮縣吉安鄉勝安村和平路一段45號,03-8462947,07:00-22:00
D6160,羅東站,268 宜蘭縣五結鄉中正路二段94號,03-9654651,00:00~24:00
D6161,宜蘭站,260 宜蘭縣宜蘭市中山路五段139號,039-282621,00:00~24:00
D6162,蘇澳站,270 宜蘭縣蘇澳鎮中山路一段196號,03-9963524,07:00~22:00
D6164,礁溪站,262 宜蘭縣礁溪鄉礁溪路六段28號,039-882170,07:00~22:00
D6167,三星站,266 宜蘭縣三星鄉三星路四段235號,039-892219,07:00~21:00
D6169,馬賽站,270 宜蘭縣蘇澳鎮蘇濱路二段459號,03-9905422,07:00~22:00
D616D,冬山站,269 宜蘭縣冬山鄉冬山路二段260號,039-591316,00:00~24:00
D616F,大同站,267 宜蘭縣大同鄉崙埤村泰雅路1段92號,039-801181,08:00-18:00
D616I,九份站,269 宜蘭縣冬山鄉冬山路五段165號,039-584810,07:00~21:00
D6170,馬蘭站,950 台東縣台東市更生路653號,089-226401,07:00-22:00
D6171,中山路站,950 台東縣台東市新生路136號,089-323132,00:00-24:00
D6173,關山站,956 台東縣關山鎮和平路24號,089-811124,07:00-21:00
D6178,知本站,950 台東縣台東市青海路四段270號,089-512284,07:00-21:00
D617D,卑南站,950 台東縣台東市更生北路20號,089-222010,00:00-24:00
D617F,初鹿站,954 台東縣卑南鄉明峰村13鄰忠孝路32號,089-571742,07:00-21:00
